b	部分
c	就是
d	只有
f	一个
g	工作
h	可以
j	什么
k	知道
l	重要
m	或者
n	因为
p	包括
q	对于
r	之前
s	都是
t	看到
v	没有
w	那么
x	而且
y	非常
bb	争议
bc	负责
bd	免费
bf	农村
bj	建议
bk	運動
bl	意思
bm	问题
bn	負責
bp	色彩
bq	堅持
br	写作
bt	解决
bv	航空
cb	绝对
cc	纪录
cd	总是
cf	师傅
cg	高中
ch	錐
cj	改变
ck	综合
cl	编程
cm	問題
cn	首先
cp	约会
cq	并不
cr	普通
cs	结果
cv	组织
cy	已经
db	虽然
dc	员工
dd	嚴重
df	噁心
dg	喫飯
dh	唯一
dj	聊天
dk	别人
dl	叭
dm	目前
dn	吃饭
dp	邑
dq	哎呀
dr	号码
ds	吐槽
dt	吹牛
dw	哪里
dy	需要
fb	妇女
fc	厕所
fd	如果
ff	互相
fg	媽媽
fh	好的
fj	于是
fk	原因
fl	殄
fm	母亲
fn	来了
fp	万一
fq	开始
fr	妈妈
fs	世界
fv	兩個
fw	歷史
fy	天天
gb	陪伴
gc	项目
gf	項目
gg	即使
gh	阳光
gj	附近
gk	功能
gl	態度
gm	随便
gn	除了
gs	申请
gt	男人
gv	阻止
gy	幾個
hb	镜头
hc	長期
hd	可能
hf	钱包
hg	应该
hh	默默
hj	锻炼
hk	矛盾
hl	钥
hn	销售
hp	焦虑
hq	其他
hr	时候
hs	社会
hv	孑
hw	这样
hx	集中
jb	位置
jc	出来
jd	事情
jf	使用
jg	充满
jh	但是
jj	依然
jk	才能
jl	什麽
jm	代表
jn	作为
jp	伙伴
jq	仅仅
jr	信息
js	他们
jt	化妆
jv	各种
jw	似乎
jx	裏面
kb	白色
kc	專業
kd	追求
kf	完全
kg	後來
kh	宗教
kj	几个
kk	行为
kl	办法
km	官方
kn	從來
kp	寫作
kq	坚持
kr	实际
ks	當然
kt	往往
kv	豸
kw	過程
kx	容易
ky	系统
lb	还是
lc	勝利
ld	所以
lf	飛機
lg	公司
lh	然而
lj	同学
lk	服务
ll	朋友
lm	毛病
ln	欲望
lp	腦子
lq	卉
ls	适合
lt	脂肪
lv	直接
lw	未来
lx	多少
mb	受到
mc	惊喜
mf	方面
mg	發現
mh	慢慢
mj	爲什麽
mk	怕是
ml	怀疑
mm	恢复
mn	东西
mq	懂得
ms	情况
mv	存在
mw	感觉
mx	心理
nb	觉得
nc	簡單
nd	算了
nf	每天
ng	第一
nh	复杂
nj	符合
nk	个人
nl	企业
nm	数据
nn	答案
nq	無法
nr	怎么
ns	等等
nt	今天
nv	自己
nw	因爲
nx	当然
ny	全部
pb	覺得
pc	顺便
pd	句子
pf	煩惱
pg	毁灭
ph	爆炸
pj	炫耀
pk	忽略
pl	魅力
pn	炒作
pp	兒子
pr	與其
ps	研究
pv	鼠标
qb	劳动
qd	觀點
qf	帶來
qg	黄金
qh	难道
qj	花钱
qk	获得
ql	共同
qm	若干
qp	警察
qq	双方
qr	观点
qs	带来
qt	通过
qv	范围
qw	艺术
qx	萬一
rb	战争
rc	記得
rd	誤解
rf	語言
rh	状态
rj	专业
rk	設計
rl	評論
rm	證明
rn	許多
rp	訓練
rq	反正
rr	詳細
rs	讀書
rt	北京
rv	認爲
rw	這個
ry	對於
sb	垃圾
sc	增加
sd	臺灣
sf	表现
sg	去年
sh	場景
sj	壞人
sk	尴尬
sl	都有
sm	城市
sn	責任
sp	熬夜
sr	幸福
ss	地方
sw	场景
sy	尤其
tb	接受
td	操作
tg	良好
th	提供
tj	为什么
tk	为了
tl	技术
tm	据说
tn	拖延
tp	搜索
tq	描述
tr	據説
ts	手机
tt	比如
tv	永远
tw	為了
tx	拒絶
ty	主要
vb	深刻
vc	测试
vf	添加
vg	江湖
vh	準備
vj	流行
vk	没人
vl	具体
vm	游戏
vn	消息
vp	沒有
vq	满足
vs	清楚
vt	注意
vv	決定
vw	瀏覽
vx	渠道
vy	变成
wc	记得
wd	识别
wf	语言
wg	革命
wh	科学
wj	讨论
wk	设计
wl	评论
wm	试试
wn	认为
wp	训练
wr	详细
ws	那麽
wt	以后
wv	承认
ww	书籍
xd	杏
xf	本人
xg	根本
xh	東西
xj	而是
xk	机会
xl	里面
xm	面前
xn	標準
xr	样子
xt	朮
xw	极端
xx	習慣
xy	遇到
yb	絶對
yc	紀念
yd	大家
yf	現在
yg	繼續
yh	維護
yj	總是
yk	綜合
yl	环境
ym	純粹
yn	珍惜
yp	約會
yr	现在
ys	結果
yv	組織
yw	級别
yx	理解
yy	絲毫
bjh	旮
bjk	羣
bjs	晝
bkj	虮
bld	竞
blh	韵
bll	蝻
blx	竦
bmj	闶
bmn	𫔶
bny	蝈
bpd	鹐
bps	鵮
bqh	蠖
bqs	蛏
btn	觞
bvr	艤
bxc	辫
cbh	𫄷
cbp	銫
cbv	録
ccb	缣
ccg	缟
cch	𬘯
ccl	鎰
ccq	𬙋
ccy	錈
cdl	鋗
cgg	鄗
cgh	錒
cgm	鍶
cgs	鉮
cgt	鈿
cgy	鏍
chc	亸
chl	郸
chr	缊
cht	绲
cjd	鉻
cjg	銃
cjj	缎
cjl	鉸
cjv	鍭
ckc	鈕
ckf	錠
ckv	绵
ckw	鎚
cld	䌹
clg	鈷
cln	鈉
clq	釺
cls	𬘩
clv	缜
