char,division,division_tw,region
的,白勹丶,,通規
一,一,,通規
了,了,,通規
是,日一龰,,通規
不,不,,通規
我,我,,通規
在,𠂇丨土,,通規
人,人,,通規
有,𠂇⺝,,通規
这,文辶,,通規
他,亻也,,通規
来,未丷,,通規
个,人丨,,通規
你,亻⺈小,,通規
说,讠丷口儿,,通規
上,⺊一,,通規
到,至刂,,通規
就,小尤,,通規
着,⺶目,,通規
大,大,,通規
们,亻门,,通規
道,䒑自辶,,通規
那,𠃌阝,,通規
么,丿厶,,通規
也,也,,通規
地,土也,,通規
子,子,,通規
下,下,,通規
出,屮凵,,通規
时,日寸,,通規
看,龵目,,通規
要,覀女,,通規
她,女也,,通規
中,中,,通規
没,氵殳,,通規
然,𱼀犬灬,,通規
里,甲二,,通規
为,丶力丶,,通規
过,寸辶,,通規
自,自,,通規
好,女子,,通規
得,彳日一寸,,通規
去,土厶,,通規
可,丁口,,通規
会,亼𠫔,,通規
天,一大,,通規
还,不辶,,通規
心,心,,通規
后,⺁一口,,通規
以,𠄌丶人,,通規
小,小,,通規
都,耂日阝,,通規
和,禾口,,通規
对,又寸,,通規
想,木目心,,通規
能,厶⺝匕匕,,通規
起,走己,,通規
之,之,,通規
手,手,,通規
而,而,,通規
只,口八,,通規
生,生,,通規
什,亻十,,通規
身,身,,通規
头,⺀大,,通規
样,木羊,,通規
事,𬺰口,,通規
多,夕夕,,通規
己,己,,通規
家,宀豕,,通規
面,丆囗,,通規
知,𠂉大口,,通規
开,一廾,,通規
如,女口,,通規
无,一尢,,通規
现,王见,,通規
很,彳艮,,通規
点,⺊口灬,,通規
前,䒑⺝刂,,通規
发,𠃋丿又丶,,通規
经,纟ス工,,通規
情,忄龶⺝,,通規
把,扌巴,,通規
老,耂匕,,通規
些,止匕二,,通規
话,讠舌,,通規
已,已,,通規
又,又,,通規
声,士𠃜,,通規
意,立日心,,通規
于,一𬺰,,通規
回,囗口,,通規
笑,⺮丿大,,通規
所,戶斤,,通規
但,亻日一,,通規
眼,目艮,,通規
成,戈,,通規
方,方,,通規
年,𠂉丨,,通規
见,见,,通規
当,⺌𫜹,,通規
女,女,,通規
真,十八,,通規
两,一冂人人,,通規
力,力,,通規
气,气,,通規
从,人人,,通規
用,⺆𰀁,,通規
长,长,,通規
动,一𠫔力,,通規
间,门日,,通規
国,囗王丶,,通規
走,走,,通規
让,讠⺊一,,通規
被,衤皮,,通規
给,纟亼口,,通規
正,一止,,通規
问,门口,,通規
打,扌丁,,通規
明,日月,,通規
儿,儿,,通規
法,氵土厶,,通規
才,𬺰丿,,通規
几,几,,通規
行,行,,通規
三,三,,通規
定,宀一龰,,通規
此,止匕,,通規
进,二辶,,通規
再,一冉,,通規
种,禾中,,通規
将,丬夕寸,,通規
实,宀⺀大,,通規
同,同,,通規
最,日耳又,,通規
本,木一,,通規
向,𰃦口,,通規
分,八刀,,通規
十,十,,通規
学,⺍冖子,,通規
高,冂口,,通規
第,⺮弔丿,,通規
感,戈丿一心,,通規
怎,𠂉心,,通規
神,礻申,,通規
听,口斤,,通規
边,力辶,,通規
作,亻𠂉,,通規
其,其,,通規
吧,口巴,,通規
却,土厶卩,,通規
口,口,,通規
觉,⺍冖见,,通規
啊,口阝丁口,,通規
因,囗大,,通規
白,白,,通規
次,冫欠,,通規
军,冖车,,通規
做,亻古攵,,通規
外,夕卜,,通規
门,门,,通規
光,⺌兀,,通規
风,⺇㐅,,通規
主,主,,通規
住,亻主,,通規
果,日木,,通規
与,一,,通規
全,人王,,通規
二,二,,通規
候,亻丨大,,通規
公,八厶,,通規
相,木目,,通規
吗,口马,,通規
等,⺮土寸,,通規
别,口力刂,,通規
色,⺈巴,,通規
死,一夕匕,,通規
张,弓长,,通規
部,立口阝,,通規
太,大丶,,通規
日,日,,通規
少,小丿,,通規
战,⺊口戈,,通規
理,王甲二,,通規
直,十,,通規
重,丿車一,,通規
王,王,,通規
像,亻⺈口𧰨,,通規
脸,月亼⺍一,,通規
比,匕,,通規
快,忄人,,通規
何,亻丁口,,通規
水,水,,通規
名,夕口,,通規
体,亻木一,,通規
呢,口尸匕,,通規
东,小,,通規
叫,口丩,,通規
西,西,,通規
应,广⺍一,,通規
便,亻一日乂,,通規
放,方攵,,通規
马,马,,通規
难,又隹,,通規
轻,车ス工,,通規
更,一日乂,,通規
美,⺷大,,通規
位,亻立,,通規
关,䒑大,,通規
机,木几,,通規
接,扌立女,,通規
先,⺧儿,,通規
文,文,,通規
处,夂卜,,通規
并,䒑廾,,通規
望,亡月王,,通規
常,⺌冖口巾,,通規
完,宀一兀,,通規
四,四,,通規
飞,⺄,,通規
师,リ一巾,,通規
者,耂日,,通規
安,宀女,,通規
清,氵龶⺝,,通規
刚,冂㐅刂,,通規
跟,⻊艮,,通規
月,月,,通規
信,亻言,,通規
山,山,,通規
爱,爫冖𠂇又,,通規
内,冂人,,通規
龙,龙,,通規
空,宀八工,,通規
带,冖巾,,通規
找,扌戈,,通規
原,厂白小,,通規
入,丿乀,,通規
李,木子,,通規
连,车辶,,通規
吃,口𠂉乙,,通規
场,土𠄎𰀪,,通規
平,干丷,,通規
思,田心,,通規
林,木木,,通規
变,𰁜又,,通規
使,亻一口乂,,通規
由,由,,通規
受,爫冖又,,通規
亲,立朩,,通規
命,亼口卩,,通規
目,目,,通規
强,弓口虫,,通規
男,田力,,通規
任,亻壬,,通規
该,讠亠𠂈人,,通規
路,⻊夂口,,通規
车,车,,通規
今,亽㇇,,通規
海,氵𠂉母,,通規
加,力口,,通規
远,一兀辶,,通規
活,氵舌,,通規
特,牜土寸,,通規
解,角刀牛,,通規
电,日乚,,通規
世,廿𠃊,,通規
性,忄生,,通規
表,龶𧘇,,通規
许,讠𠂉十,,通規
它,宀匕,,通規
立,立,,通規
黑,灬,,通規
金,金,,通規
红,纟工,,通規
花,艹亻𠤎,,通規
转,车专,,通規
总,丷口心,,通規
算,⺮目廾,,通規
城,土戈,,通規
队,阝人,,通規
孩,子亠𠂈人,,通規
反,⺁又,,通規
工,工,,通規
始,女厶口,,通規
满,氵艹一人,,通規
新,立朩斤,,通規
兵,工八,,通規
物,牜勹𰀪,,通規
离,文凵冂厶,,通規
非,非,,通規
虽,口虫,,通規
云,一𠫔,,通規
似,亻𠄌丶人,,通規
万,一,,通規
至,至,,通規
干,干,,通規
通,龴冂𰀁辶,,通規
认,讠人,,通規
失,丿夫,,通規
火,火,,通規
哥,丁口丁口,,通規
士,士,,通規
五,丅,,通規
惊,忄小,,通規
魔,麻鬼,,通規
竟,立日儿,,通規
姐,女且,,通規
乎,丿丷𬺰,,通規
剑,亼⺍一刂,,通規
往,彳主,,通規
量,日一甲二,,通規
早,早,,通規
结,纟士口,,通規
怕,忄白,,通規
流,氵亠厶𫶧,,通規
突,宀八犬,,通規
坐,人人土,,通規
斯,其斤,,通規
音,立日,,通規
紧,又糸,,通規
指,扌匕日,,通規
拉,扌立,,通規
杀,㐅朩,,通規
半,半,,通規
记,讠己,,通規
且,且,,通規
利,禾刂,,通規
合,亼口,,通規
倒,亻至刂,,通規
书,𠃍𠃌丨丶,,通規
度,广廿又,,通規
微,彳山一攵,,通規
步,止𣥂,,通規
教,耂子攵,,通規
喜,士口,,通規
越,走戈𠄌,,通規
影,日小彡,,通規
谁,讠隹,,通規
冷,冫亽龴,,通規
深,氵冖八木,,通規
告,⺧口,,通規
落,艹氵夂口,,通規
象,⺈口𧰨,,通規
容,宀八人口,,通規
怪,忄又土,,通規
传,亻专,,通規
钱,钅戋,,通規
提,扌日一龰,,通規
言,言,,通規
随,阝𠂇⺝辶,,通規
每,𠂉母,,通規
双,又又,,通規
服,月卩又,,通規
击,𰀁凵,,通規
武,一弋止,,通規
哪,口𠃌阝,,通規
数,米女攵,,通規
站,立⺊口,,通規
奇,大丁口,,通規
房,户方,,通規
管,⺮宀㠯,,通規
灵,𫜹火,,通規
刻,亠𠂈人刂,,通規
题,日一龰页,,通規
衣,亠𧘇,,通規
周,⺆土口,,通規
静,龶⺝⺈亅,,通規
伤,亻𠂉力,,通規
百,丆日,,通規
拿,亼口手,,通規
妈,女马,,通規
办,力,,通規
星,日生,,通規
化,亻𠤎,,通規
功,工力,,通規
绝,纟⺈巴,,通規
系,丿糸,,通規
般,舟殳,,通規
必,心丿,,通規
业,业,,通規
尔,⺈小,,通規
件,亻牛,,通規
血,丿皿,,通規
代,亻弋,,通規
精,米龶⺝,,通規
弟,丷弔丿,,通規
终,纟夂⺀,,通規
近,斤辶,,通規
条,夂朩,,通規
青,龶⺝,,通規
界,田人,,通規
司,𠃌一口,,通規
整,木口攵止,,通規
欢,又欠,,通規
字,宀子,,通規
晚,日⺈口儿,,通規
民,𫠠,,通規
帮,阝巾,,通規
切,刀,,通規
即,卩,,通規
忙,忄亡,,通規
交,亠八乂,,通規
或,戈口一,,通規
暗,日立日,,通規
夫,夫,,通規
员,口贝,,通規
根,木艮,,通規
石,石,,通規
哈,口亼口,,通規
夜,亠亻夊丶,,通規
父,八乂,,通規
制,牛冂刂,,通規
友,𠂇又,,通規
阿,阝丁口,,通規
息,自心,,通規
冲,冫中,,通規
酒,氵西一,,通規
保,亻口木,,通規
片,片,,通規
形,一廾彡,,通規
阵,阝车,,通規
南,十冂䒑十,,通規
决,冫人,,通規
请,讠龶⺝,,通規
各,夂口,,通規
报,扌卩又,,通規
兴,⺍一八,,通規
阳,阝日,,通規
急,⺈𫜹心,,通規
语,讠丅口,,通規
令,亽龴,,通規
错,钅龷日,,通規
及,及,,通規
刘,文刂,,通規
极,木及,,通規
识,讠口八,,通規
备,夂田,,通規
慢,忄日罒又,,通規
雪,⻗𫜹,,通規
苦,艹古,,通規
若,艹𠂇口,,通規
领,亽龴页,,通規
收,丩攵,,通規
底,广氏丶,,通規
尽,尸㇏⺀,,通規
准,冫隹,,通規
华,亻𠤎十,,通規
答,⺮亼口,,通規
众,人人人,,通規
千,千,,通規
消,氵⺌⺝,,通規
视,礻见,,通規
罗,罒夕,,通規
敢,𠃍耳攵,,通規
留,刀田,,通規
克,古儿,,通規
乐,小,,通規
够,勹口夕夕,,通規
跑,⻊包,,通規
显,日业,,通規
嘴,口止匕角,,通規
官,宀㠯,,通規
断,米𠃊斤,,通規
未,未,,通規
势,扌丸力,,通規
句,勹口,,通規
求,𬺰丶,,通規
计,讠十,,通規
论,讠人匕,,通規
达,大辶,,通規
则,贝刂,,通規
害,宀丰口,,通規
八,八,,通規
单,丷日十,,通規
久,𠂊㇏,,通規
脚,月土厶卩,,通規
德,彳十罒心,,通規
元,一兀,,通規
脑,月文凵,,通規
楚,木木乛龰,,通規
雨,雨,,通規
睛,目龶⺝,,通規
响,口𰃦口,,通規
刀,刀,,通規
确,石角,,通規
玉,王丶,,通規
沉,氵冖几,,通規
北,匕,,通規
格,木夂口,,通規
停,亻冖丁,,通規
陈,阝小,,通規
市,亠巾,,通規
朝,十早月,,通規
喝,口日匃,,通規
族,方𠂉𠂉大,,通規
江,氵工,,通規
团,囗𬺰丿,,通規
母,母,,通規
章,立早,,通規
装,丬士亠𧘇,,通規
亮,冖几,,通規
