char,division,division_tw,region
的,白勹丶,,CJK
一,一,,CJK
了,了,,CJK
是,日一龰,,CJK
不,不,,CJK
我,丿扌戈,,CJK
在,丨土,,CJK
人,人,,CJK
有,月,,CJK
这,文辶,,CJK
他,亻也,,CJK
来,一米,,CJK
个,人丨,,CJK
你,亻⺈小,,CJK
说,讠丷口儿,,CJK
上,上,,CJK
到,至刂,,CJK
就,小尤,,CJK
着,⺶目,,CJK
大,大,,CJK
们,亻门,,CJK
道,䒑自辶,,CJK
那,㇆阝,,CJK
么,丿厶,,CJK
也,也,,CJK
地,土也,,CJK
子,子,,CJK
下,下,,CJK
出,屮凵,,CJK
时,日寸,,CJK
看,龵目,,CJK
要,覀女,,CJK
她,女也,,CJK
中,口丨,,CJK
没,氵殳,,CJK
然,犬灬,,CJK
里,里,,CJK
为,丶力丶,,CJK
过,寸辶,,CJK
自,自,,CJK
好,女子,,CJK
得,彳日一寸,,CJK
去,土厶,,CJK
可,丁口,,CJK
会,人二厶,,CJK
天,一大,,CJK
还,不辶,,CJK
心,心,,CJK
后,⺁一口,,CJK
以,乚丶人,,CJK
小,小,,CJK
都,耂日阝,,CJK
和,禾口,,CJK
对,又寸,,CJK
想,木目心,,CJK
能,厶月匕匕,厶⺼匕匕,CJK
起,走己,走巳,CJK
之,之,,CJK
手,手,,CJK
而,而,,CJK
只,口八,,CJK
生,生,,CJK
什,亻十,,CJK
身,身,,CJK
头,⺀大,,CJK
样,木羊,,CJK
事,口彐,,CJK
多,夕夕,,CJK
己,己,,CJK
家,宀豕,,CJK
面,面,,CJK
知,矢口,,CJK
开,一廾,,CJK
如,女口,,CJK
无,一尢,,CJK
现,王见,,CJK
很,彳艮,,CJK
点,⺊口灬,,CJK
前,䒑月刂,,CJK
发,又丶,,CJK
经,纟ス工,,CJK
情,忄龶月,,CJK
把,扌巴,,CJK
老,耂匕,,CJK
些,止匕二,,CJK
话,讠舌,,CJK
已,已,,CJK
又,又,,CJK
声,士,,CJK
意,立日心,,CJK
于,一,,CJK
回,囗口,,CJK
笑,⺮夭,,CJK
所,戶斤,,CJK
但,亻日一,,CJK
眼,目艮,,CJK
成,戊㇆,,CJK
方,方,,CJK
年,𠂉ヰ,,CJK
见,见,,CJK
当,⺌彐,,CJK
女,女,,CJK
真,十八,,CJK
两,一冂人人,,CJK
力,力,,CJK
气,气,,CJK
从,人人,,CJK
用,用,,CJK
长,长,,CJK
动,二厶力,,CJK
间,门日,,CJK
国,囗王丶,,CJK
走,走,,CJK
让,讠上,,CJK
被,衤皮,,CJK
给,纟合,,CJK
正,一止,,CJK
问,门口,,CJK
打,扌丁,,CJK
明,日月,,CJK
儿,儿,,CJK
法,氵土厶,,CJK
才,丿,,CJK
几,几,,CJK
行,彳亍,,CJK
三,三,,CJK
定,宀一龰,,CJK
此,止匕,,CJK
进,二辶,,CJK
再,一冂土,,CJK
种,禾口丨,,CJK
将,丬夕寸,丬爫寸,CJK
实,宀⺀大,,CJK
同,冂一口,,CJK
最,日耳又,冂二耳又,CJK
本,木一,,CJK
向,向,,CJK
分,八刀,,CJK
十,十,,CJK
学,⺍冖子,,CJK
高,高,,CJK
第,⺮弓丨丿,,CJK
感,戊一口心,,CJK
怎,𠂉心,,CJK
神,示申,,CJK
听,口斤,,CJK
边,力辶,,CJK
作,亻𠂉,,CJK
其,其,,CJK
吧,口巴,,CJK
却,土厶卩,,CJK
口,口,,CJK
觉,⺍冖见,,CJK
啊,口阝丁口,,CJK
因,囗大,,CJK
白,白,,CJK
次,冫欠,二欠,CJK
军,冖车,,CJK
做,亻古夊,,CJK
外,夕卜,,CJK
门,门,,CJK
光,⺌兀,,CJK
风,几乂,,CJK
主,丶王,,CJK
住,亻丶王,,CJK
果,日木,,CJK
与,丂一,,CJK
全,人王,入王,CJK
二,二,,CJK
候,亻丨ユ矢,,CJK
公,八厶,,CJK
相,木目,,CJK
吗,口马,,CJK
等,⺮土寸,⺮士寸,CJK
别,口力刂,,CJK
色,⺈巴,,CJK
死,一夕匕,,CJK
张,弓长,,CJK
部,立口阝,,CJK
太,大丶,,CJK
日,日,,CJK
少,小丿,,CJK
战,⺊口戈,,CJK
理,王里,,CJK
直,十,,CJK
重,千里,,CJK
王,王,,CJK
像,亻⺈口,亻⺈,CJK
脸,月人一,,CJK
比,匕匕,,CJK
快,忄ユ人,,CJK
何,亻丁口,,CJK
水,水,,CJK
名,夕口,,CJK
体,亻木一,,CJK
呢,口尸匕,,CJK
东,七小,,CJK
叫,口丩,,CJK
西,西,,CJK
应,广,,CJK
便,亻一日乂,,CJK
放,方夊,,CJK
马,马,,CJK
难,又隹,,CJK
轻,车ス工,,CJK
更,一日乂,,CJK
美,⺷大,,CJK
位,亻立,,CJK
关,䒑大,,CJK
机,木几,,CJK
接,扌立女,,CJK
先,⺧儿,,CJK
文,文,,CJK
处,夊卜,夊人,CJK
并,䒑廾,,CJK
望,亡月王,亡壬,CJK
常,尚巾,,CJK
完,宀一兀,,CJK
四,囗儿,,CJK
飞,⺄,,CJK
师,リ一巾,,CJK
者,耂日,,CJK
安,宀女,,CJK
清,氵龶月,,CJK
刚,冂乂刂,,CJK
跟,足艮,,CJK
月,月,,CJK
信,亻言,,CJK
山,山,,CJK
爱,爫冖又,,CJK
内,冂人,,CJK
龙,尤丿,,CJK
空,穴工,,CJK
带,卅冖巾,,CJK
找,扌戈,,CJK
原,厂白小,,CJK
入,入,,CJK
李,木子,,CJK
连,车辶,,CJK
吃,口𠂉乙,,CJK
场,土𠄎,,CJK
平,干丷,,CJK
思,田心,,CJK
林,木木,,CJK
变,亦又,,CJK
使,亻一口乂,,CJK
由,由,,CJK
受,爫冖又,,CJK
亲,立木,,CJK
命,合卩,,CJK
目,目,,CJK
强,弓口虫,,CJK
男,田力,,CJK
任,亻壬,,CJK
该,讠亥,,CJK
路,足夊口,,CJK
车,车,,CJK
今,人丶乛,人一乛,CJK
海,氵𠂉母,,CJK
加,力口,,CJK
远,一兀辶,,CJK
活,氵舌,,CJK
特,牛土寸,牛士寸,CJK
解,⺈用刀牛,⺈土牛,CJK
电,电,,CJK
世,世,,CJK
性,忄生,,CJK
表,龶𧘇,,CJK
许,讠𠂉十,,CJK
它,宀匕,,CJK
立,立,,CJK
黑,黑,,CJK
金,金,,CJK
红,纟工,,CJK
花,艹亻匕,,CJK
转,车二㇉丶,,CJK
总,丷口心,,CJK
算,⺮目廾,,CJK
城,土戊㇆,,CJK
队,阝人,,CJK
孩,子亥,,CJK
反,⺁又,厂又,CJK
工,工,,CJK
始,女厶口,,CJK
满,氵艹一人,,CJK
新,立木斤,,CJK
兵,斤一八,,CJK
物,牛勹,,CJK
离,文凵冂厶,,CJK
非,非,,CJK
虽,口虫,,CJK
云,二厶,,CJK
似,亻乚丶人,,CJK
万,一勹,,CJK
至,至,,CJK
干,干,,CJK
通,マ用辶,,CJK
认,讠人,,CJK
失,丿夫,,CJK
火,火,,CJK
哥,丅口丁口,,CJK
士,士,,CJK
五,一,,CJK
惊,忄小,,CJK
魔,麻鬼,,CJK
竟,立日儿,,CJK
姐,女且,,CJK
乎,丿丷,,CJK
剑,人一刂,,CJK
往,彳丶王,,CJK
量,日一里,,CJK
早,早,,CJK
结,纟士口,,CJK
怕,忄白,,CJK
流,氵亠厶,氵七丶,CJK
突,穴犬,,CJK
坐,人人土,,CJK
斯,其斤,,CJK
音,立日,,CJK
紧,〢又糸,,CJK
指,扌匕日,,CJK
拉,扌立,,CJK
杀,乂木,,CJK
半,丷,,CJK
记,讠己,,CJK
且,且,,CJK
利,禾刂,,CJK
合,合,,CJK
倒,亻至刂,,CJK
书,乛㇆丨丶,,CJK
度,广卄一又,,CJK
微,一几,一儿,CJK
步,止,,CJK
教,耂子夊,,CJK
