char,parts,colors
的,5 2 1,
一,1,
了,2,
是,4 1 4,
不,4,
我,1 1 2 3,1 0 2 3 5 1
在,2 1 3,
人,2,
有,2 4,
这,4 3,
他,2 3,
来,1 6,
个,2 1,
你,2 2 3,
说,2 2 3 2,
上,3,
到,6 2,
就,5 3 4,
着,6 5,
大,3,
们,2 3,
道,3 6 3,
那,1 3 2,
么,1 2,
也,3,
地,3 3,
子,3,
下,3,
出,3 2,
时,4 3,
看,4 5,
要,6 3,
她,3 3,
中,3 1,
没,3 4,
然,4 4 4,
里,7,
为,1 2 1,
过,3 3,
自,6,
好,3 3,
得,3 4 1 3,
去,3 2,
可,1 3 1,1 2 1
会,2 2 2,
天,1 3,
还,4 3,
心,4,
后,2 1 3,
以,1 1 2,
小,3,
都,4 4 2,
和,5 3,
对,2 3,
想,4 5 4,
能,2 4 2 2,
起,7 3,
之,3,
手,4,
而,6,
只,3 2,
生,5,
什,2 2,
身,7,
头,2 3,
样,4 6,
事,1 3 3 1,1 2 3 1
多,3 3 ,
己,3,
家,3 7,
面,9,
知,5 3,
开,1 3,
如,3 3 ,
无,1 3,
现,4 4,
很,3 6,
点,2 3 4,
前,3 4 2,
发,2 2 1,
经,3 2 3,
情,3 4 4,
把,3 4,
老,4 2,
些,4 2 2,
话,2 6,
已,3,
又,2,
声,3 4,
意,5 4 4,
于,1 2,
回,2 3 1,1 2 1
笑,6 4,
所,4 4,
但,2 4 1,
眼,5 6,
成,2 1 3,1 2 1
方,4,
年,2 4,
见,4,
当,3 3,
女,3,
真,2 6 2,
两,1 2 2 2,
力,2,
气,4,
从,2 2,
用,5,
长,4,
动,2 2 2,
间,3 5,
国,2 4 1 1,1 2 3 1
走,7,
让,2 3,
被,5 5,
给,3 6,
正,5,
问,3 3,
打,3 2,
明,4 4,
儿,2,
法,3 3 2,
才,2 1,
几,2,
行,3 3,
三,3,
定,3 1 4,
此,4 2,
进,2 2 3,
再,1 2 3,
种,5 3 1,
将,3 3 3,
实,3 2 3,
