char,division,division_tw,region
的,白勹丶,,GB0
了,了,,GB0
一,一,,GB0
是,日一龰,,GB0
我,丿扌戈,,GB0
不,不,,GB0
上,上,,GB0
在,丨土,,GB0
你,亻⺈小,,GB0
山,山,,GB0
他,亻也,,GB0
這,言辶,,GBK
來,來,,GBK
道,䒑自辶,,GB0
有,月,,GB0
下,下,,GB0
到,至刂,,GB0
個,亻囗古,,GBK
天,一大,,GB0
岳,斤一山,,GB0
人,人,,GB0
復,彳𠂉日夊,,GBK
説,言丷口儿,,GBK
去,土厶,,GB0
們,亻門,,GBK
後,彳幺夊,,GB0
中,口丨,,GB0
大,大,,GB0
高,高,,GB0
就,小尤,,GB0
着,羊目,,GB0
門,門,,GBK
子,子,,GB0
和,禾口,,GB0
也,也,,GB0
看,龵目,,GB0
出,屮凵,,GB0
好,女子,,GB0
地,土也,,GB0
過,咼辶,,GBK
點,黑卜口,,GBK
都,耂日阝,,GB0
麽,麻丿厶,,GB0
還,罒一口辶,,GBK
起,走己,走巳,GB0
前,䒑月刂,,GB0
會,人一日,,GBK
把,扌巴,,GB0
要,覀女,,GB0
頭,一口䒑貝,,GBK
以,乚丶人,,GB0
師,𠂤一巾,,GBK
時,日土寸,日士寸,GBK
手,手,,GB0
家,宀豕,,GB0
華,艹十,艹一艹,GBK
得,彳日一寸,,GB0
靈,雨口口人,,GBK
那,㇆阝,,GB0
然,月犬灬,,GB0
年,𠂉ヰ,,GB0
多,夕夕,,GB0
回,囗口,,GB0
裏,亠里𧘇,,GBK
没,氵殳,,GB0
對,业羊寸,,GBK
日,日,,GB0
之,之,,GB0
真,十且八,,GB0
開,門一廾,,GBK
可,丁口,,GB0
小,小,,GB0
爲,爫,,GBK
學,臼乂乂子,乂乂臼子,GBK
又,又,,GB0
月,月,,GB0
事,口彐,,GB0
宗,宀示,,GB0
清,氵龶月,,GB0
聲,士殳耳,,GBK
三,三,,GB0
兩,一巾入入,,GBK
話,言舌,,GBK
掌,尚手,,GB0
見,見,,GBK
能,厶月匕匕,,GB0
同,冂一口,,GB0
今,人丶乛,人一乛,GB0
顔,立丿彡貝,,GBK
身,身,,GB0
用,用,,GB0
面,面,,GB0
問,門口,,GBK
心,心,,GB0
果,日木,,GB0
走,走,,GB0
些,止匕二,,GB0
發,癶弓殳,,GBK
想,木目心,,GB0
晚,日⺈口儿,,GB0
十,十,,GB0
很,彳艮,,GB0
自,自,,GB0
但,亻日一,,GB0
喫,口丰刀大,,GBK
霽,雨亠丷二,,GBK
幾,幺幺戈人,,GBK
宇,宀一,,GB0
向,向,,GB0
邊,自穴方辶,,GBK
如,女口,,GB0
從,彳人人龰,,GBK
