yuniversus,chaipua,ispua
高,,
,e804,yes
,e006,yes
,,yes
亠,,
木,,
來,,
,e002,yes
ヰ,,
㔾,,
卩,,
言,,
马,,
尸,,
,e031,yes
弓,,
韋,,
,e0e8,yes
皮,,
又,,
マ,,
癶,,
ユ,,
ス,,
コ,,
彐,,
,e0b4,yes
肀,,
丑,,
隶,,
女,,
冂,,
,e988,yes
,e060,yes
见,,
贝,,
冊,,
雨,,
彳,,
,,yes
彡,,
,e41e,yes
讠,,
白,,
爿,,
臼,,
鬼,,
,e0ed,yes
,e069,yes
甶,,
向,,
,e028,yes
,e02d,yes
𠂤,,
戶,,
鳥,,
,e0d7,yes
烏,,
,,yes
斤,,
⺁,,
片,,
申,,
由,,
电,,
黽,,
,,yes
車,,
,e052,yes
叀,,
丰,,
至,,
門,,
鬥,,
乚,,
𡿨,,
㇉,,
隹,,
亻,,
,e068,yes
風,,
几,,
母,,
,e440,yes
,e405,yes
彑,,
殳,,
一,,
尤,,
尢,,
手,,
龵,,
扌,,
未,,
末,,
丿,,
竹,,
𠂉,,
,e014,yes
气,,
𧘇,,
,,yes
乃,,
廴,,
,,yes
十,,
黑,,
艮,,
户,,
戸,,
匚,,
丂,,
牙,,
犬,,
犭,,
臣,,
土,,
耂,,
士,,
,,yes
龶,,
走,,
壴,,
亍,,
二,,
冫,,
⺀,,
,e088,yes
宀,,
穴,,
尚,,
龸,,
小,,
火,,
灬,,
丁,,
示,,
上,,
,e04d,yes
丄,,
下,,
丅,,
王,,
日,,
,e070,yes
曰,,
早,,
古,,
目,,
且,,
,4e14,yes
見,,
貝,,
缶,,
矢,,
卯,,
,e107,yes
,e01a,yes
,,yes
,e057,yes
纟,,
,e023,yes
了,,
子,,
予,,
寸,,
,e413,yes
丶,,
乀,,
八,,
,e0e3,yes
入,,
食,,
,,yes
𠁁,,
,,yes
弋,,
戈,,
戊,,
立,,
辛,,
三,,
巛,,
巜,,
川,,
耳,,
丌,,
兀,,
,e0e2,yes
舌,,
口,,
〇,,
鸟,,
,e0da,yes
乌,,
豸,,
刀,,
刂,,
禾,,
毛,,
千,,
壬,,
夭,,
麻,,
疒,,
广,,
鹿,,
,e0dc,yes
辰,,
,e08d,yes
干,,
甫,,
厶,,
幺,,
匕,,
长,,
水,,
氵,,
⺍,,
,e046,yes
糸,,
糹,,
辶,,
之,,
大,,
𡗗,,
夫,,
巴,,
已,,
己,,
巳,,
也,,
乜,,
钅,,
工,,
酉,,
牛,,
⺧,,
齒,,
止,,
龰,,
足,,
生,,
西,,
覀,,
襾,,
虫,,
丷,,
䒑,,
リ,,
米,,
丬,,
羊,,
⺷,,
⺶,,
自,,
身,,
心,,
忄,,
人,,
合,,
,,yes
僉,,
骨,,
咼,,
冎,,
九,,
瓦,,
乂,,
,e0d8,yes
力,,
用,,
面,,
而,,
革,,
世,,
艹,,
,e415,yes
,,yes
龷,,
廾,,
卝,,
卄,,
卅,,
卌,,
文,,
方,,
亥,,
亦,,
门,,
豕,,
,e420,yes
夊,,
亡,,
,e834,yes
金,,
业,,
非,,
其,,
巾,,
山,,
卜,,
,e07c,yes
,e10c,yes
虎,,
,,yes
虍,,
鹵,,
丨,,
〣,,
〢,,
瓜,,
爪,,
爫,,
皿,,
罒,,
舟,,
髟,,
長,,
镸,,
习,,
丆,,
厂,,
石,,
不,,
甲,,
里,,
田,,
禺,,
魚,,
儿,,
,e07f,yes
屮,,
丩,,
,e04e,yes
丱,,
凵,,
勹,,
,e02a,yes
囗,,
月,,
,e083,yes
,e09b,yes
馬,,
,,yes
七,,
车,,
冖,,
⺈,,
欠,,
饣,,
鱼,,
夕,,
衤,,
飛,,
乙,,
𠄎,,
亅,,
乛,,
㇆,,
乁,,
阝,,
