font,ma
一,Fi
丁,An
丂,Sk
七,Ai
三,Fa
下,Ak
丅,Ak
丌,Aj
不,Du
世,Hi
丰,Dn
二,Si
冫,Si
⺀,Si
亍,Ah
來,Dl
兀,Hw
其,Dj
匚,Gf
,Gf
十,Di
卅,Ss
卌,Ss
厂,Sh
古,Dg
土,Ht
耂,Ht
士,Hf
龶,Hf
,Hf
壴,Dd
大,Gd
夫,Gu
𡗗,Gu
寸,Ac
尤,Do
尢,Do
工,Fo
干,Hg
弋,Gy
戈,Gg
戊,Dw
扌,Ao
,Ao
ヰ,Ao
木,Fv
未,He
末,Ho
牙,Hy
犬,Sq
王,Gn
瓦,Aw
甫,Fu
石,Dh
丆,Dh
示,Hs
而,Sr
耳,Ar
臣,Sc
至,Hk
艹,Sj
,Sj
龷,Sj
廾,Sj
卝,Sj
卄,Sj
,Sj
西,Dx
覀,Dx
襾,Dx
豕,Ds
,Ds
走,Dk
車,Gc
叀,Gc
,Gc
车,Hc
辰,Sn
酉,Go
長,Ha
髟,Ha
镸,Ha
雨,Dy
面,Gi
革,Ge
馬,Dm
,Dm
,So
,Au
丶,Od
乀,Od
丷,Ue
丬,Ue
䒑,Ue
リ,Ue
之,Pe
亡,Uw
,Uw
亥,Oi
亦,Pi
宀,Ob
亠,Ob
广,Uu
户,Ie
戸,Ie
戶,Ie
文,Pw
方,Og
氵,Is
⺍,Is
,Is
火,Uo
灬,Uo
疒,Pb
穴,Px
立,Id
米,Pm
羊,Ug
衤,Py
言,Ua
讠,Oa
辛,Ox
辶,Pd
门,Pn
高,Ol
,Ol
,Ol
,Ol
鹿,Il
,Il
麻,Pa
,Ri
,Ww
丿,Qp
乂,Wl
,Wl
乌,Ew
九,Yf
人,Te
亻,Ee
僉,Rl
儿,Qr
,Qr
入,Ru
八,Ti
,Ti
冖,Ym
⺈,Ym
几,Qj
匕,Ri
千,Wk
卯,Tm
,Tm
,Tm
,Tm
,Tm
合,Ye
,Ye
向,Rn
,Rn
,Rn
壬,En
夊,Eh
夕,Rk
夭,Eo
川,Qc
彡,To
,To
彳,Rc
心,Yi
忄,Yi
手,Tu
龵,Tu
斤,Ej
⺁,Ej
月,Wy
勹,Wy
,Wy
,Wy
欠,Ei
殳,Qh
毛,Rm
气,Qq
烏,Yw
,Yw
爪,Ek
爫,Ek
片,Tp
牛,Wn
⺧,Wn
牜,Wn
犭,Rq
瓜,Qu
生,Wg
用,Tn
白,Eb
矢,Qi
禾,Rh
竹,Qk
𠂉,Qk
,Qk
缶,Wo
自,Tk
臼,Rj
舌,Re
舟,Qo
豸,Yk
身,Wm
金,Wj
钅,Tj
长,Th
隹,Wi
風,Rf
食,Ys
饣,Rs
鬼,Wu
甶,Wu
,Wu
,Wu
魚,Ty
鱼,Qy
鳥,Ro
,Ro
鸟,Ya
,Ya
𠂤,Yd
𧘇,Ry
,Ry
,Ja
,Ja
上,Ks
丄,Ks
,Ks
且,Mi
业,Kg
冂,Kf
,Kf
,Kf
冊,Nc
刂,Md
卜,Mo
,Mo
,Mo
口,Lv
,Lv
咼,Na
冎,Na
囗,Nw
小,Ma
尚,Ns
龸,Ns
丨,Ns
〣,Ns
〢,Ns
山,Js
巾,Mv
日,Jr
早,Jd
曰,Je
止,Ni
水,Kv
田,Jt
由,Ko
甲,Kj
申,Ke
电,Kd
皿,Mn
目,Mf
禺,Ky
罒,Mw
虎,Mu
虍,Mu
,Mu
虫,Kc
見,Mx
见,Kx
貝,Mb
贝,Kb
足,Nv
里,Kk
門,Kn
非,Li
骨,Mg
鬥,Nd
鹵,Kl
黑,Ne
黽,Jm
,Jm
齒,Mc
龰,Nf
,Bu
丑,Bc
乃,Vj
乙,Vi
𠄎,Vi
亅,Vi
乛,Vi
㇆,Vi
乁,Vi
㔾,Vi
乚,Xi
〇,Xi
𡿨,Xi
㇉,Xi
也,Cy
乜,Cy
习,Xi
了,Vl
予,Cu
凵,Xg
屮,Xg
丱,Xg
丩,Xg
,Xg
刀,Bd
力,Xk
卩,Xj
厶,Vv
又,Bu
マ,Bu
癶,Bu
ユ,Bu
ス,Bu
コ,Bu
女,Cn
子,Vk
尸,Bh
,Bh
巛,Vc
巜,Vc
己,Bj
已,Bi
巳,Ck
巴,Cb
幺,Vo
廴,Xn
弓,Vg
彐,Xl
,Xl
肀,Xl
母,Bm
彑,Bm
,Bm
,Bm
爿,Xp
皮,Vp
糸,Bs
糹,Bs
纟,Vs
,Vs
艮,Vn
阝,Cj
韋,Ci
,Ci
飛,Bk
马,Xm
