font,ma,pinyin,julei
乂,bi,Yì -> i 🈤不取聲母,這幾個字根都有「乂」的特徵
,bi,,這幾個字根都有「乂」的特徵
冖,bi,Mì -> i 🈤不取聲母 ㊟俗稱秃寶蓋,這幾個字根都有「冖」的特徵
,bi,㊟同冖歸併,這幾個字根都有「冖」的特徵
,bi,㊟同冖歸併 ㊕不做末根,這幾個字根都有「冖」的特徵
彐,bo,🈤生僻字取o 🈕Jì ㊟同彑對舉,這幾個字根都有「彐」的特徵
,bo,㊟同彐歸併,這幾個字根都有「彐」的特徵
肀,bo,㊟同彐歸併,這幾個字根都有「彐」的特徵
隶,bi,Lì -> i 🈤不取聲母 🈑逮本字 🈕Dài Yì Dì,這幾個字根都有「彐」的特徵
立,bli,Lì,這幾個字根都有「立」的特徵
辛,bxi,Xīn -> Xi,這幾個字根都有「立」的特徵
臣,be,Ĉén -> e 🈤不取聲母,這幾個字根都有「臣」的特徵
,bi,Yí -> i 🈤不取聲母 ㊟熙左上,這幾個字根都有「臣」的特徵
,bi,Yí -> i 🈤不取聲母,這幾個字根都有「臣」的特徵
虫,bo,Ĉóŋ -> o 🈤不取聲母 🈕Huǐ,遊離字根
门,bme,Mén -> Me ㊟對應繁體在C鍵,遊離字根
丷,ca,Bā -> a 🈤不取聲母,這幾個字根都有雙腿的特徵
,ca,Cǎo -> a 🈤不取聲母,這幾個字根都有雙腿的特徵
,ca,㊟同丷歸併 ㊕只作首根,這幾個字根都有雙腿的特徵
,co,🈤無讀音取o,這幾個字根都有雙腿的特徵
丌,ci,Jì -> i 🈤不取聲母 🈕Qí,這幾個字根都有雙腿的特徵
,ci,㊟同丌歸併,這幾個字根都有雙腿的特徵
金,ci,Jīn -> i 🈤不取聲母 ㊟對應簡體在H鍵,遊離字根
己,cji,Jǐ,這幾個字根都有「己」的特徵
已,cyi,Yǐ,這幾個字根都有「己」的特徵
巳,csi,Sì,這幾個字根都有「己」的特徵
,csi,㊟同巳歸併 ㊕不做末根,這幾個字根都有「己」的特徵
㔾,cje,Jié -> Je,這幾個字根都有「己」的特徵
麻,cma,Má,這幾個字根都有「广」的特徵
鹿,clu,Lù,這幾個字根都有「广」的特徵
,clu,㊟同鹿歸併 ㊕不做末根,這幾個字根都有「广」的特徵
,ci,Sī -> i 🈤不取聲母 ㊟俗稱絞絲旁,這幾個字根都有「纟」的特徵
,ci,,這幾個字根都有「纟」的特徵
贝,cbe,Bèi -> Be,這幾個字根都有「贝」的特徵
页,cye,Yè,這幾個字根都有「贝」的特徵
門,cme,Mén -> Me ㊟對應簡體在B鍵,門類
高,cga,Gāo -> Ga,這幾個字根都有「高」的特徵
,cga,㊟同高歸併,這幾個字根都有「高」的特徵
,cga,㊟同高歸併,這幾個字根都有「高」的特徵
,co,🈤無讀音取o,這幾個字根都有「高」的特徵
,co,🈤無讀音取o ㊕不做末根,這幾個字根都有「高」的特徵
口,do,Kǒu -> o 🈤不取聲母,口類
〇,do,㊟同口歸併,口類
早,da,Zǎo -> a 🈤不取聲母,這幾個字根都有「目」的特徵
目,dmu,Mù,這幾個字根都有「目」的特徵
