font,ma,pinyin
骨,bgu,gǔ
咼,bgu,guō
,bu,
臼,bje,jiù
,be,
幺,bka,yāo
鳥,bne,niǎo
,be,
烏,bwe,wū
,be,
艹,bo,
艹,bo,
廾,bo,
世,bso,shì
彐,ca,
,co,
肀,ca,
隶,cla,lì
古,cgo,gǔ
亥,chi,hài
金,cje,jīn
頁,cko,yè
立,cli,lì
门,cmi,mén
片,cpe,piàn
爿,cpa,pán
尚,csu,shàng
,cu,
习,cxa,xí
白,dbe,bái
止,ddu,zhǐ
,du,
齒,dcu,chǐ
,de,
户,dhi,hù
戶,dhe,hù
戸,dho,hù
疒,di,
几,dje,jǐ
殳,dse,shū
乙,dka,yǐ
鱼,dke,yú
來,dlo,lái
目,dmu,mù
,dso,shì
,du,
,du,
丨,du,
〢,du,
〣,du,
且,dvu,qiě
,du,
,fa,
,fa,
自,fde,zì
見,fju,jiàn
一,fko,yī
木,fmo,mù
朩,fo,
壬,fre,rén
,fu,
,fu,
,fu,
卜,gbu,bo
,gu,
,gu,
,go,
鹵,glu,lǔ
竹,gde,zhú
,ge,
,ge,
丶,gi,
乀,gi,
己,gja,jǐ
已,gka,yǐ
,gsa,sì
尤,gko,yóu
門,gmu,mén
,go,
手,gse,shǒu
,ge,
,go,
巴,hba,bā
辰,hco,chén
大,hdo,dà
丿,he,
,he,
彡,he,
,he,
艮,hga,gèn
,ha,
魚,hke,yú
牙,hko,yá
,ho,
人,hre,rén
身,hse,shēn
十,hso,shí
瓦,hwo,wǎ
卩,ja,
,ja,
贝,jbu,bèi
长,jce,zhǎng
臣,jco,chén
,jo,
,jo,
正,jdo,zhèng
,je,
,je,
辶,ji,
⻍,ji,
尢,jko,yóu
了,jla,le
子,jda,zǐ
孑,jja,jié
予,jka,yǔ
亍,jo,
日,jru,rì
曰,jku,yuē
食,jse,shí
山,jsu,shān
气,jve,qì
而,jwo,ér
凵,ka,
丩,ka,
,ka,
屮,ka,
丱,ka,
不,kbo,bù
丑,kca,chǒu
,ku,
豸,kde,zhì
,ke,
飛,kfa,fēi
斤,kje,jīn
由,kku,yóu
入,kre,rù
申,ksu,shēn
,ku,
戊,kwo,wù
夕,kxe,xī
小,kxu,xiǎo
⺌,ku,
,ku,
,ki,
,ki,
乚,la,
寸,lco,cùn
,lo,
刀,lda,dāo
爪,lde,zhǎo
瓜,lge,guā
之,ldi,zhī
,le,
八,lbe,bā
,le,
弋,lko,yì
业,lku,yè
生,lse,shēng
三,lso,sān
水,lsu,shuǐ
,li,
其,lvo,qí
未,lwo,wèi
末,lmo,mò
心,lxi,xīn
,ma,
,ma,
,mbe,bǐ
丁,mdo,dīng
丅,mo,
下,mxo,xià
鬥,mdu,dòu
干,mgo,gàn
虎,mhu,hǔ
虍,mu,
,mu,
,mi,
亦,mki,yì
卯,mme,mǎo
,me,
,me,
,me,
,me,
上,msu,shàng
丄,mu,
,mu,
欠,mve,qiàn
㔾,na,
廴,na,
土,ndo,tǔ
,ne,
非,nfu,fēi
戈,ngo,gē
丷,ni,
,ni,
,nu,
宀,ni,
穴,nxi,xué
九,nje,jiǔ
鹿,nli,lù
,ni,
,no,
,no,
矢,nse,shǐ
,nve,qiān
,nwe,ér
川,pce,chuān
巛,pa,
巜,pa,
早,pdu,zǎo
竹,pe,
夊,pe,
火,phi,huǒ
车,pjo,chē
羊,pki,yáng
,pi,
,pi,
,pi,
麻,pmi,má
鸟,pne,niǎo
,pe,
乌,pwe,wū
尸,psa,shī
,pa,
曲,pvu,qǔ
,po,
向,pxe,xiàng
,pe,
,pe,
辛,pxi,xīn
虫,qcu,chóng
夫,qfo,fū
合,qhe,hé
,qe,
,qe,
僉,qve,qiān
丬,qi,
亠,qi,
用,qke,yòng
毛,qme,máo
面,qmo,miàn
,qo,
皮,qpa,pí
,qsa,mì
田,qtu,tián
罒,qu,
皿,qmu,mǐn
兀,qwo,wù
丌,qo,
,qo,
長,rco,zhǎng
镸,ro,
髟,ro,
,re,
,ri,
,re,
,ro,
甲,rju,jiǎ
又,rka,yòu
,ra,
,ra,
马,rma,mǎ
牛,rne,niú
,re,
石,rso,shí
二,rwo,èr
,ri,
,re,
⺀,ri,
,sa,
冊,scu,cè
走,sdo,zǒu
电,sdu,diàn
彳,se,
,se,
甶,se,
,se,
鬼,sge,guǐ
,se,
風,sfe,fēng
口,sku,kǒu
〇,sla,líng
里,slu,lǐ
母,sma,mǔ
,sa,
彑,sa,
,sa,
耳,swo,ěr
癶,ta,
足,tdu,zú
广,tgi,guǎng
灬,ti,
夭,tke,yāo
言,tki,yán
页,tko,yè
,to,
,to,
豕,tso,shǐ
,te,
囗,tu,
,va,
至,vdo,zhì
甫,vfo,fǔ
黑,vhu,hēi
冖,vi,
,ve,
,ve,
巾,vju,jīn
也,vka,yě
乜,vma,miē
乂,vke,yì
,ve,
雨,vko,yǔ
女,vna,nǚ
耂,vo,
士,vso,shì
,vu,
文,vwi,wén
厶,wa,
貝,wbu,bèi
缶,wfe,fǒu
弓,wga,gōng
,wgi,gāo
,wi,
,wi,
,wi,
車,wjo,jū
,wo,
,wo,
月,wke,yuè
,we,
,we,
米,wmi,mǐ
乃,wna,nǎi
,wo,
,wo,
,wo,
,wo,
卅,wso,sà
卌,wxo,xì
亡,wwi,wáng
,wi,
舟,xde,zhōu
,xe,
丰,xfo,fēng
革,xgo,gé
,xi,
见,xju,jiàn
馬,xmo,mǎ
,xo,
,xo,
丆,xo,
厂,xco,chǎng
冂,xu,
,xu,
,xu,
,xvo,qī
西,xxo,xī
酉,xko,yǒu
隹,yde,zhuī
方,yfi,fāng
工,ygo,gōng
禾,yhe,hé
禺,yku,yú
力,yla,lì
舌,yse,shé
犬,yvo,quǎn
,ye,
王,ywo,wáng
