font,ma,pinyin,examples
二,ae,阿二,
,ae,,飞
,ae,,
,ae,,头
害,ah,暗害,瞎
丂,ak,暗亏,亏
,ak,,与
口,ak,碍口，A口,
隶,al,阿里,
龸,as,,
亡,aw,哀亡,
虎,bh,壁虎，白虎,
虍,bh,,
,bh,,
囗,bk,包口，B口,
犭,bq,白犬,
,bz,,
臣,cc,车臣，称臣,
,cc,,
風,cf,春風,
禾,ch,锄禾,
了,cl,除了,
里,cl,村里，处理,
毛,cm,长毛，粗毛,
丌,cn,,
,cn,,
又,co,才又，从又,
龴,co,,
,co,,
,co,,经
片,cp,成片,
,cp,,
罒,cs,,
正,cz,纯正,
丶,dd,点点,
刂,dd,大刀,
古,dg,低估,
亥,dh,大骇,
合,dh,叠合，大河,
,dh,,
,dh,,
,dk,,
,dk,,
,dk,,
𬺰,ds,,
,ds,,
土,dt,动土，冻土,
肀,dv,,
,dy,,畏
乙,dz,,
乙,dz,,
白,eb,鹅白,
卩,ee,一耳（单耳）,
,ee,,节
頁,ee,额叶,
戈,eg,二哥,
灬,eh,二货,
兼,ej,额角，耳机,
己,ej,耳机,
母,em,儿母,
皿,em,耳目,
莫,em,恶魔,
,en,,南
用,eo,饿哟，已用,
丬,ep,一片（e谐字母音，丬象爿）,
,ep,,北
爿,ep,一片（e谐字母音，片象爿）,
七,eq,二七,
𫠠,eq,,尧
,eq,,东
,eq,,切
欠,eq,额前,
扌,es,额手，一手,
,ew,,五
言,fa,发芽，发言,
匕,fb,反比,
,fb,,
,fb,,
貝,fb,繁贝,
冊,fc,,
𠕁,fc,,
丁,fd,房顶,
飛,ff,繁飞，飞飞,
冖,fg,覆盖,
,fg,,色
黑,fh,发黑,
由,fo,费油（托韵）,
卅,fs,封杀,
卌,fs,,
,fs,,帶
,fs,,带
巳,fs,方式,
,fs,,民
氵,fs,风水，放水,
,fy,,衣
,fy,,旅
彳,gc,各处,
,gc,,微
鬥,gd,狗鬥,
冫,ge,孤儿,次
页,ge,该页？过夜，托韵母,
宀,gg,盖盖,
廴,gl,,
鹿,gl,公鹿,
,gl,,
且,gq,苟且,
,gq,,具
彡,gs,高三,
,gs,,
,gs,,
矢,gs,弓矢,
魚,gv,钩鱼,
,go,,換
文,gw,古文,
已,gy,怪异,
厂,hc,回厂,
齒,hc,皓齒，护齿,
,hc,,春
來,hl,回來,
力,hl,合力,
水,hs,祸水，回水,
氺,hs,,
,hs,,永
,hs,,鰥
,hs,,
生,hs,花生,
亠,hw,汉文，华文,
忄,hx,花心，灰心,
西,hx,华西,
襾,hx,,
覀,hx,,
一,hy,横一,
衤,hy,黑衣，汗衣,
之,hz,呼之，挥之,
讠,ia,爱言（一言）,
寸,ic,爱称，一寸,
也,ie,挨饿,
甶,if,,
非,if,爱妃,
丿,ip,一撇,
其,iq,爱情，爱妻,
丆,is,爱石,
上,is,爱上,
丄,is,,
,is,,禹
尸,is,碍事,
𠃜,is,,眉
,is,,官
糸,is,艾丝,
食,is,爱食，碍事,
,is,,
,is,,
,iu,,侯
乌,iw,爱屋（及乌）,
𦣞,iy,,熙
𦣝,iy,,
爪,iz,鹰爪,
爫,iz,,
亍,jc,坚持，进出,
长,jc,加长,
㐭,jd,,
,jd,,
㔾,je,,
耳,je,金耳,
方,jf,甲方,
骨,jg,筋骨,
戸,jh,几户，近户（近似户）,
立,jl,建立,
鹵,jl,加鹵,
僉,jq,拒签,
豕,js,监视,
饣,js,进食,
龵,js,,
田,jt,井田,
匚,ju,近U,
匸,ju,,
戊,jw,甲午（戊）,
下,jx,脚下,
夕,jx,今夕,
舟,jz,九州，荆州,
疒,kb,看病,
镸,kc,考场,
隹,kc,狂吹,
大,kd,扩大,
谷,kg,空谷,
丩,kj,快纠（错）,
,kj,,发
耂,kl,,老
双,ks,快双（打）,
手,ks,空手，快手,
沙,ks,狂沙，开沙,
曰,kv,夸曰üe，托韵母,
未,kw,口味,
小,kx,口小,
𣥂,kx,,
⺌,kx,,
,kx,,
,kx,,
,kx,,
竹,kz,空竹,
⺮,kz,,
𠂉,kz,,
,kz,,
八,lb,腊八,
,lb,,
,lb,,
,lb,,
川,lc,利川,
車,lc,列車,
,lc,,
而,le,理儿，乐儿,
咼,lg,路过,
戶,lh,类户，落户,
乃,ln,理念，露奶,
,ln,,
气,lq,漏气,
入,lr,落入,
丨,ls,类竖,
十,ls,六十,
山,ls,乐山,
,ls,,
云,lv,凌云,
𠫓,lv,,
至,lz,乐至，例子,
豸,lz,例子,
,mc,,
犬,mq,猛犬,
世,ms,面世,
厶,ms,谋私,
冂,mu,木屋,
,mu,,凹
,mu,,雋
,mu,,丽
,mu,,
月,mv,明月，某月,
,mv,,亙
,mv,,祭
,mv,,炙
王,mw,魔王,
乚,mz,马扎,
牙,na,嫩芽，奶牙（托韵）,
丷,nb,逆八,
,nb,,师
,nb,,
髟,nb,女表，牛逼,
车,nc,牛车,
斗,nd,内斗,
阝,ne,逆耳,
鬼,ng,内鬼,
予,nv,难予ű,
夊,nw,难文,
夂,nw,,
攵,nw,,
辛,nx,内心,
子,nz,女子，逆子,
孑,nz,,
夭,oa,哦啊,
羊,oa,哦啊,
,oa,,
,oa,,
不,ob,哦不,
勹,ob,,句
⺆,ob,,周
,ob,,敖
卜,ob,欧布，欧宝,
巴,ob,欧巴,
屮,oc,呕出,
䶹,oc,,
业,oe,偶尔，噢耶,
,oe,,亞
,oe,,亜
尚,os,欧尚,
尙,os,,
,os,,堂
殳,os,欧式,
石,os,欧式,
,ow,,爲為
向,ox,偶像,
𰃦,ox,,
走,oz,欧洲,
足,oz,欧足（欧洲足球）,
𧾷,oz,,
贝,pb,庞贝,
虫,pc,瓢虫，爬虫,
丱,pg,皮革,
瓜,pg,破瓜,
户,ph,贫户，陪护,
九,pj,普九,
馬,pm,跑馬,
千,pq,派遣，平迁,
申,ps,评审,
示,ps,批示,
自,pz,配置,
辟,qb,墙壁,
弓,qg,琴弓,
