font,ma,pinyin
高,Ag,Gāo -> g
,Ag,
,Ag,
,Ag,
亠,At,Tóu = t
木,Am,Mù -> m
朩,Am,
來,Al,Lái -> l
,Ak,
,Ak,
㔾,Aj,Jié -> j
卩,Aj,Jié -> j
,Aj,
言,By,yán -> y
马,Bm,Mǎ -> m
尸,Bs,SHī -> s
,Bs,
弓,Bg,Gōng -> g
,Bw,wǔ -> w
皮,Bp,Pí -> p
又,Bo,yòu -> o ㊟取韻o
癶,Bo,
,Bo,
マ,Bo,
ス,Bo,
,Bo,
彐,Bj,Jì -> j
,Bj,
肀,Bj,
丑,Bc,CHǒu -> c
隶,Bd,Dì -> d ㊟古音
女,Cn,Nǚ -> n
冂,Ck,k ㊟取框音
,Ck,
,Ck,
见,Cj,Jiàn -> j
贝,Cb,Bèi -> b
页,Cy,yè -> y
冊,Ce,Cè -> e ㊟聲c被彳佔用故取韻e
,Ce,
雨,Cv,yǔ = ǚ -> v
彳,Cc,CHì -> c
,Cc,
彡,Cp,SHān -> p ㊟取撇音p
,Cp,
,Cv,Ø -> v ㊟無讀音或生僻部首
讠,Dy,yán -> y
白,Db,Bái -> b
爿,Dq,Qiáng -> q
臼,Di,Jìù -> i ㊟聲j被斤佔用故取韻i
⺽,Di,
鬼,Dg,Guǐ -> g
,Dg,
,Dg,
甶,Dg,
向,Dx,Xiàng -> x
,Dx,
,Dx,
,Dd,Duī -> d
戶,Dh,Hù -> h
鳥,Dn,Niǎo -> n
,Dn,
烏,Dw,wū -> w
,Dw,
斤,Dj,Jīn -> j
⺁,Dj,
片,Dp,Piàn -> p
申,Ds,SHēn -> s
由,Do,yóu -> o ㊟取韻o
曲,Dq,Qǔ -> q
电,Dd,Diàn -> d
車,Dc,CHē -> c
,Dc,
叀,Dc,
丰,Df,Fēng -> f
至,Dz,ZHì -> z
門,Dm,Mén -> m
鬥,Du,Dòu -> d
乚,Ei,yí = i
隹,Eh,ZHuī -> h ㊟取第二字母h
亻,Er,rén -> r
,Ez,Zuǒ -> z
風,Ef,Fēng -> f
几,Ej,Jǐ -> j
母,Em,Mǔ -> m
,Em,
,Em,
彑,Em,
殳,Es,SHǔ -> s
一,Fi,yī = ī
尤,Fo,yóu -> o ㊟取韻o
尢,Fo,
手,Fs,SHǒu -> s
龵,Fs,
扌,Fs,SHǒu -> s
未,Fw,wèi -> w
末,Fm,Mò -> m
丿,Gp,Piě -> p
竹,Gz,ZHú -> z
,Gz,
,Gz,
⺮,Gz,
气,Gq,Qì -> q
,Gy,yī -> y ㊟取衣音y
,Gy,
乃,Gn,Nǎi -> n
廴,Gy,yín -> y
,Gw,wéi -> w ㊟取爲音w
十,Gi,SHi -> i ㊟取韻i
黑,Gh,Hēi -> h
艮,Gg,Gěn -> g
户,Hh,Hù -> h
戸,Hh,
匚,Hf,Fāng -> f
丂,Hk,Kào -> k
牙,Ha,yá -> a ㊟取韻a
犬,Hq,Quǎn -> q
犭,Hq,
臣,Hc,CHén -> c
,Hc,
,Hc,
土,Ht,Tǔ -> t
耂,Ht,
士,Hs,SHēng -> s
,Hs,
龶,Hs,SHēng -> s
走,Hz,Zǒu -> z
壴,Hz,ZHú -> z
亍,Ic,CHù -> c
二,Ir,èr -> r ㊟取第二字母r
冫,Ir,
⺀,Ir,
,Ir,
宀,Im,Miǎn -> m
穴,Ix,Xuè -> x
尚,Is,SHàng -> s
,Is,
小,Iv,Xiǎo -> v ㊟特例
,Iv,
⺌,Iv,
火,Ih,Huǒ -> h
灬,Ib,Biāo -> b
丁,Jd,Dīng -> d
示,Js,SHì -> s
上,Jv,SHàng -> v ㊟特例
,Jv,
丄,Jv,
下,Jx,Xià -> x
丅,Jx,
王,Jw,wáng -> w
日,Jr,rì -> r
,Jr,
,Jr,
曰,Jy,yuē -> y
早,Jz,Zǎo -> z
古,Jg,Gǔ -> g
,Jv,Ø -> v ㊟無讀音或生僻部首
目,Jm,Mù -> m
且,Jq,Qiě -> q
,Jq,
見,Jj,Jiàn -> j
貝,Jb,Bèi -> b
頁,Je,yè -> e ㊟取韻e
缶,Jf,Fǒu -> f
矢,Ji,SHǐ -> i ㊟聲s被示佔用故取韻i
卯,Km,Mǎo -> m
,Km,
,Km,
,Km,
,Km,
纟,Kj,JiǎoSī -> j ㊟特例取絞絲音j
,Kj,
了,Ke,Le -> e ㊟聲l被立佔用故取韻e
子,Kz,Zǐ -> z
予,Kv,yǔ = ǚ -> v
寸,Kc,Cùn -> c
,Kc,
乀,Kd,
丶,Kd,
八,Ka,Bā -> a ㊟取韻a
,Ka,
入,Kr,rù -> r
食,Ks,SHí -> s
,Ka,yà -> a ㊟取亞韻a
,Ka,
,Ka,
,Ka,
弋,Ki,yì = i
戈,Kg,Gē -> g
戊,Kw,wù -> w
立,Kl,Lì -> l
辛,Kx,Xīn -> x
三,La,Sān -> a ㊟聲s被舌佔用故取韻a
巛,Lc,CHuān -> c
巜,Lc,
川,Lc,CHuān -> c
耳,Le,ěr -> e
丌,Lj,Jì -> j
兀,Lw,wù -> w
,Ls,s ㊟取鼠音
〇,Ll,Líng -> l
舌,Ls,SHé -> s
口,Lv,Kǒu -> v ㊟特例
正,Lz,ZHèng -> z
鸟,Mn,Niǎo -> n
,Mn,
乌,Mw,wū -> w
豸,Mz,ZHì -> z
刀,Md,Dāo -> d
刂,Md,Dāo -> d
禾,Mh,Hé -> h
毛,Mm,Máo -> m
千,Mq,Qiān -> q
壬,Mr,rén -> r
夭,My,yāo -> y
麻,Ma,Má -> a
疒,Mb,Bìng -> b
广,Mg,Guǎng -> g
鹿,Ml,Lù -> l
,Ml,
辰,Mc,CHén -> c
,Mc,c ㊟同辰歸併故取c
干,Ng,Gān -> g
甫,Nf,Fǔ -> f
厶,Na,a ㊟同幺歸併故取a
,Na,
幺,Na,yāo -> a ㊟取韻a
匕,Nb,Bi -> b
长,Nc,CHáng -> c
水,Ns,SHuǐ -> s
氵,Ns,SHuǐ -> s
,Ns,
⺍,Ns,
糸,Os,Sī -> s
辶,Oc,CHuò -> c
⻍,Oc,
之,Oz,ZHī -> z
大,Od,Dà -> d
,Od,Dí -> d
夫,Of,Fū -> f
巴,Ob,Bā -> b
已,Oi,yǐ = i
己,Oj,Jǐ -> j
巳,Os,Sì -> s
也,Oe,yě -> e ㊟取韻e
乜,Om,Miē -> m
钅,Oj,Jīn -> J
工,Pg,Gōng -> g
酉,Py,yǒu -> y
牛,Pn,Niú -> n
⺧,Pn,
齒,Pc,CHǐ -> c
止,Pi,ZHǐ -> i ㊟聲z被足佔用故取韻i
龰,Pi,
足,Pz,Zú -> z
生,Ps,SHēng -> s
西,Px,Xī -> x
虫,Qc,Chóng -> c
丷,Qk,Cǎo -> k ㊟特例
䒑,Qk,
,Qk,
米,Qm,Mǐ -> m
丬,Qq,Qiáng -> q
羊,Qy,yáng -> y
,Qy,
⺷,Qy,
自,Qi,Zì -> z
身,Qs,SHēn -> s
心,Ri,Xīn -> x
忄,Rx,Xīn -> x
人,Re,rén -> e ㊟取韻e
合,Rh,Hé -> h
,Rh,
,Rh,
僉,Rq,Qiān -> q
骨,Rg,Gǔ -> g
咼,Rk,Kuǎi -> k ㊟古音
冎,Rk,
九,Rj,Jiǔ -> j
瓦,Rw,wǎ -> wa
乂,Si,yì = i
,Si,
力,Sl,Lì -> l
用,Sy,yòng -> y
面,Sm,Miàn -> m
而,Sr,ér -> r ㊟取第二字母r
革,Sg,Gé -> g
世,Si,SHì -> s
艹,So,Cǎo -> c
,So,
,So,
,So,
廾,So,
卄,So,
卅,Ss,Sà -> s
卌,Ss,
文,Te,wén -> e ㊟聲w被亡佔用故取韻e
方,Tf,Fāng -> f
亥,Th,Hài -> h
亦,Ti,yì = i
门,Tm,Mén -> m
豕,Ts,SHǐ -> s
,Ts,
夊,Tu,Pū -> u ㊟取韻e
亡,Tw,wáng -> w
,Tw,
金,Tj,Jīn -> j
业,Ue,yè -> e ㊟取韻e
非,Uf,Fēi -> f
其,Uq,Qí -> q
巾,Uj,Jīn -> j
山,Us,SHān -> s
卜,Ub,Bǔ -> b
,Ub,
,Ub,
⺊,Ub,
虎,Uh,Hǔ -> h
,Uh,
虍,Uh,
鹵,Ul,Lǔ -> l
丨,Us,SHù -> s ㊟同豎
〣,Us,
〢,Us,
瓜,Ug,Guā -> g
爪,Uz,ZHuǎ -> z
皿,Um,Mǐn -> m
罒,Uw,wǎng -> w
舟,Uo,ZHōu -> o ㊟聲z被爪佔用故取韻o
髟,Ub,Biāo -> b
長,Uc,CHáng -> c
镸,Uc,CHáng -> c
习,Vx,Xí -> x
丆,Vh,hǎn -> h ㊟古音
厂,Vh,hǎn -> h ㊟古音
石,Vs,SHí -> s
不,Vu,Bù -> b
甲,Vj,Jiā -> j
里,Vl,Lǐ -> l
田,Vt,Tián -> t
禺,Vv,yǔ = ǚ -> v
魚,Vv,yú = ü -> v
儿,Wr,ér -> r ㊟取第二字母r
,Wr,
屮,Wc,Cǎo -> c
丩,Wj,Jiū -> j
,Wj,
丱,Wj,
ㄩ,Wk,Kǎn -> k
勹,Wb,Bāo -> b
,Wb,
囗,Ww,wéi = w
月,Wy,yuè = y
,Wy,
,Wy,
馬,Wm,Mǎ -> m
,Wm,
七,Xi,Qī -> q
车,Xj,Jū -> j ㊟古音
冖,Xm,Miǎn -> m
⺈,Xm,
欠,Xq,Qiān -> q
饣,Xs,SHi -> s
鱼,Xv,yú = ǘ -> v
,Xv,Ø -> v ㊟無讀音或生僻部首
夕,Xx,Xī -> x
衤,Xy,yī = i
飛,Yf,Fēi -> f
乙,Yi,yǐ = i
亅,Yi,
阝,Yf,Fǔ -> f
