font,ma
亼,av
亽,av
饣,as
人,ar
𠆢,ar
金,aj
釒,aj
,av
八,ab
,av
又,ay
龴,av
目,bm
且,bq
,bv
,bv
貝,bb
見,bx
頁,by
㠯,bv
,bv
𮍌,bv
𤕪,bv
,bv
白,bb
自,bz
古,bg
舌,bs
,bs
匚,cv
臣,cc
巨,cj
𦣞,cv
𦣝,cv
𠥓,cv
,cv
,cv
匸,cv
,cv
,cv
𠫔,cv
至,cz
,cv
,cv
氏,cs
,cv
,cv
𧘇,cv
,cv
,cv
,cv
,cv
氵,cs
ミ,cs
日,dr
,dv
曰,dy
早,dz
毌,dg
母,dm
毋,dw
,dw
𣫬,dv
女,dn
攵,dp
夂,dv
夊,dv
,dv
夕,dx
𱼀,dy
,dy
𰀄,ev
𰀂,ev
,ev
,ev
,ev
長,ec
镸,ec
馬,em
,ev
隹,ev
,ev
彐,ex
𫜹,ex
,ex
⼹,ej
𬺹,ev
习,ex
,ex
王,ew
⺩,ew
壬,er
,er
𡈼,er
巾,ej
爫,ez
⺤,ez
⺥,ez
爪,ez
瓜,eg
𤓰,ev
𰢛,ev
𫜵,ev
豸,ez
𮙥,ev
𱬴,ev
三,es
亖,es
十,fs
𬂛,fs
𠂇,fv
𬺰,fv
寸,fc
𰀁,fv
,fv
扌,fs
丰,ff
,ff
車,fj
,fv
甫,fp
中,fz
𰀉,fv
,fv
韋,fw
千,fq
手,fs
龵,fs
,fv
,fv
戈,gg
𭠍,gv
𢦍,gv
𢦑,gv
戋,gj
㦮,gv
,gv
,gv
弋,gy
𫠠,gv
我,gw
,gv
犭,gq
,gv
,gv
𧰨,gv
,gv
豕,gs
𬺷,gv
𬺻,gv
𧰧,gv
,gv
,gv
⻊,gz
足,gz
,gv
虫,gc
𠀐,gv
,gv
一,hv
㇀,hv
艹,hc
⺾,hc
⺿,hc
廾,hc
サ,hc
卄,hv
,hv
卅,hs
,hv
,hv
卌,hv
勹,hb
包,hb
匃,hg
⺈,hv
,hv
𠂊,hv
角,hj
𰃦,hv
,hv
片,hp
,hp
爿,hp
,hp
丨,iv
亅,iv
工,ig
,iv
讠,iy
亡,iw
主,iz
亠,iv
方,if
立,il
,iv
𰁜,iv
辛,ix
,ix
𨐋,ix
永,iy
丿,jv
厂,jc
辰,jc
,jv
⺁,jv
斤,jj
虍,jh
𮓗,jh
广,jg
疒,jb
鹿,jl
麻,jm
礻,js
衤,jy
言,jy
訁,jy
,jv
吂,jm
䜌,jl
龻,jl
文,jw
𰀠,kv
,kv
,kv
,kv
长,kc
丬,kv
,kv
,kv
䒑,kv
,kv
⺮,kz
木,km
朩,km
𣎳,kv
术,ks
朮,kz
來,kl
未,kw
禾,kh
,kv
乚,lv
㇂,lv
㇃,lv
㇄,lv
㇉,lv
𠃉,lv
𠃊,lv
𠃋,lv
𠃑,lv
𠄌,lv
𡿨,lv
ㄣ,lv
,lv
り,lv
廴,lj
辶,lz
⻌,lz
⻍,lz
⻎,lz
之,lz
,lv
,lv
𠂉,lr
牛,ln
牜,ln
⺧,ln
气,lq
生,ls
⺊,lv
卜,lb
忄,lx
,lv
川,mc
,mv
彳,mc
彡,mv
巛,mv
𡿦,mv
,mv
,mv
,mv
,mv
,mv
,mv
⺍,mv
ツ,mv
,mv
灬,mh
𠁼,mv
,mv
弓,mg
𢎗,mg
𢎜,mg
了,ml
𠄏,ml
,mv
,mv
𠚕,mv
月,my
⺝,my
⺼,mr
,mv
,mv
冉,mr
,mv
宀,mb
刂,nd
,nv
リ,nv
,nv
,nv
𰀪,nv
巜,nv
冂,nv
⺆,nv
同,nt
,nv
咼,nw
舟,nz
,nz
,nz
冖,nm
门,nm
〇,ov
㇣,ov
口,ok
◇,ov
,ov
,ov
,ov
亞,oy
𬻞,ov
,ov
,ov
,pv
卩,pj
𰆊,pj
阝,pe
𠁣,pv
尸,ps
户,ph
戶,ph
𠃜,pv
,pv
,pv
,pv
鳥,pn
,pv
烏,pw
,pw
,pv
刀,pd
,pv
巳,ps
㔾,pv
巴,pb
也,py
艮,pg
,pv
,pv
丶,qv
㇏,qv
乀,qv
囗,qw
,qv
𫩏,qq
四,qs
罒,qs
皿,qm
,qv
,qv
田,qt
由,qy
甲,qj
申,qs
,qv
,qv
,qv
鱼,qy
魚,qy
,qv
,qv
,qv
,qv
,qv
,qv
鬼,qg
大,rd
夫,rf
𡗗,rv
龹,rv
犬,rq
火,rh
贝,rb
欠,rq
及,rj
皮,rp
牙,ry
矛,rm
身,rs
丂,sv
,sv
,sv
,sv
专,sz
马,sm
,sv
𢎘,sv
鸟,sn
,sv
,sv
乌,sw
𠀎,sv
,sv
,sv
,sv
甘,sg
廿,sn
龷,sv
丗,ss
𠀍,ss
,sv
,sv
,sv
其,sq
耳,se
,sv
,sv
西,sx
覀,sx
襾,sx
丅,tv
丁,td
下,tx
不,tb
雨,ty
⻗,ty
,ty
干,tg
,tv
弔,td
丆,tv
石,ts
而,te
页,ty
七,tq
,tv
,tv
𠫓,tv
车,tj
毛,tm
匕,tb
,tb
,tb
,tv
𠤎,tv
,tv
凵,uv
屮,uc
山,us
䶹,uv
,uv
,uv
,uv
丩,uv
𠂈,uv
,uv
业,uy
,uv
,uv
,uv
𠁁,uv
,uv
臼,uj
,uv
,uv
,uv
,uv
,uv
,uv
,uv
心,ux
厶,uv
𠙴,uv
丷,vv
𬼀,vv
,vv
,vv
,vv
冫,vb
,vb
⺀,vv
,vv
,vv
亻,vr
,vv
儿,we
,we
见,wx
兆,wz
几,wj
𠘧,wj
⺇,wj
,wv
凡,wf
風,wf
𠁽,wv
,wv
,wv
殳,wv
尤,wy
尢,wv
兀,ww
龙,wl
,wv
纟,ws
糸,ws
糹,ws
幺,wy
乡,wx
㐅,xv
乂,xv
乄,xv
力,xl
九,xj
丸,xw
,xv
,xv
,xv
,xv
,xv
,xv
氺,xs
水,xs
,xs
,xv
,xv
,xv
,xv
,xv
米,xm
小,xx
𡭔,xx
𣥂,xx
⺌,xv
𫶧,xv
卝,xc
,xv
非,xf
行,xh
⺽,xj
,xv
,xv
門,xm
𨳈,xv
,xv
癶,xv
,xv
,xv
,xv
,xv
,xv
,xv
𤕰,xv
丱,xv
,xv
𣶒,xy
,xy
半,yb
,yb
羊,yy
⺶,yy
⺷,yy
丄,yv
,yv
,yv
彑,yj
土,yt
走,yz
耂,yl
士,ys
,yv
龶,yv
止,yz
𱤻,yv
,yv
,yv
龰,yv
乙,zv
乁,zv
乛,zv
⺄,zv
㇁,zv
㇅,zv
㇇,zv
㇈,zv
㇊,zv
㇋,zv
㇌,zv
㇍,zv
㇎,zv
㇘,zv
㇢,zv
𠃌,zv
𠃍,zv
𠄎,zv
,zv
,zv
,zv
,zv
,zv
,zv
己,zj
,zv
已,zy
ス,zv
子,zz
孑,zj
钅,zj
二,ze
𠄞,ze
𠄟,ze
𠄠,ze
示,zs
⺬,zs
,zs
𱍐,zs
𘠴,ev
𘡃,dv
𘫺,dv
𘡶,hp
𘡋,mv
𘤄,mv
𗢨,nv
𘠡,xv
,yv
𘦳,yv
