font,ma
,Mr
ヰ,Mr
一,Fi
丁,Fd
丂,Ek
七,Wq
丆,Wh
三,Ks
下,Al
丅,Al
丌,Vj
不,Ej
世,Ls
丰,Yf
二,Ye
,Ye
冫,Ye
⺀,Ye
亍,Yc
來,Wl
兀,Rw
其,Eq
匚,Mf
十,Ql
卅,Ss
,Ss
,Ss
卌,Ss
厂,Mc
古,Tg
土,Gt
耂,Gt
士,Gs
,Gs
壴,Lz
大,Kr
夫,Xf
寸,Me
,Me
尤,Ky
尢,Ky
工,Kw
干,Kg
弋,Ay
戈,Ag
戊,Aw
扌,Cs
木,Ai
未,Jw
末,Jm
牙,Qy
犬,Nq
王,Jr
瓦,Ww
甫,Nf
石,Bs
示,Ds
而,Le
耳,Te
臣,Yc
至,Ez
艹,Sc
龷,Sc
廾,Sc
卝,Sc
卄,Sc
西,Rx
覀,Rx
襾,Rx
豕,Bo
,Bo
走,Gz
車,Fj
,Fj
叀,Fj
车,Lj
辰,Pc
酉,Wy
長,Hc
镸,Hc
雨,Xy
面,Sm
革,Gg
馬,Lm
,Lm
髟,Bb
龶,Hq
,Hw
,Sz
𡗗,Up
丬,Dq
丶,Le
乀,Le
丷,Qb
䒑,Qb
リ,Qb
之,Hz
亠,Lt
亡,Ew
,Ew
亥,Bh
亦,Vy
宀,Kb
广,Ly
戶,Uh
户,Dh
戸,Dh
文,Nw
方,Nd
氵,Is
⺍,Is
,Is
火,Th
灬,Th
疒,Yb
穴,Jx
立,Xl
米,Ak
羊,Hy
⺷,Hy
⺶,Hy
衤,Vy
言,Uy
讠,My
辛,Sx
辶,He
门,Qi
高,Lg
,Lg
,Lg
,Lg
鹿,Ul
,Ul
麻,Qm
丿,Md
乂,Cy
,Cy
乌,Fw
九,Hj
人,Rm
亻,Er
僉,Iq
儿,Ne
,Ne
入,Hr
八,Ur
,Ur
冖,Pm
⺈,Pm
几,Dj
勹,Hb
,Hb
匕,Vj
千,Yq
卯,Am
,Am
,Am
,Am
,Am
合,Gp
,Gp
向,Vx
,Vx
,Vx
壬,Or
夊,Tj
夕,Ux
夭,Gy
川,Ic
彡,Hs
,Hs
彳,Xc
,Xc
心,Uf
忄,Hx
手,Ps
龵,Ps
斤,Cn
⺁,Cn
月,Wi
,Wi
,Wi
欠,Gq
殳,Dp
毛,Wm
气,Kq
烏,Iw
,Iw
爪,Bz
爫,Bz
片,Cp
牛,Mn
⺧,Mn
犭,Qq
瓜,Bg
生,Ek
用,Iy
白,Db
矢,Is
禾,Vh
竹,Dz
𠂉,Dz
,Dz
缶,Ff
自,Hd
臼,Hj
舌,Xs
舟,Qz
豸,Kz
身,Ns
金,Nj
钅,Uj
长,Jc
隹,Yz
風,Pf
食,Js
饣,Xs
鬼,Pg
,Pg
,Pg
甶,Pg
魚,Ny
鱼,Ey
鳥,In
,In
鸟,Fn
,Fn
,Jw
𠂤,Hd
𧘇,Xy
,Xy
上,Xj
,Xj
丄,Xj
且,Dq
,Dq
业,Fy
丨,Is
〣,Is
〢,Is
冂,Pk
,Pk
,Pk
冊,Yc
刂,Pe
卜,Nb
,Nb
,Nb
口,Oz
〇,Oz
咼,Tg
冎,Tg
囗,Xw
小,Vi
尚,Is
龸,Is
山,Ts
巾,Vl
日,Jz
,Jz
早,Iz
曰,Jy
止,Nz
龰,Nz
水,Fs
田,Yt
由,Oy
甲,Pj
申,Es
电,Pd
皿,Xm
目,Rn
禺,Py
罒,Xw
虎,Wh
,Wh
虍,Wh
虫,Vc
見,Sj
见,Rj
貝,Sb
贝,Cb
足,Fz
里,Di
門,Cm
非,Mf
骨,Hg
鬥,Xd
鹵,Gl
黑,Qh
黽,Em
,Em
齒,Oc
,Qy
𠁁,Qy
,Qy
丑,Uc
丩,Dj
,Dj
丱,Dj
乃,Un
乙,Vv
𠄎,Vv
亅,Vv
乛,Vv
㇆,Vv
乁,Vv
㔾,Vv
乚,Eh
𡿨,Eh
㇉,Eh
乜,Um
也,Ud
习,Px
了,Kd
予,Wy
凵,Dk
刀,Ed
力,Wk
卩,Kj
厶,Ks
又,Bn
マ,Bn
癶,Bn
ユ,Bn
ス,Bn
コ,Bn
女,Rh
子,Kc
尸,Ys
,Ys
屮,Dc
巛,Gc
巜,Gc
己,Ug
已,Sy
巳,Is
巴,If
幺,Ny
廴,Ly
弓,Ag
彐,Tx
,Tx
肀,Tx
母,Mm
,Mm
,Mm
彑,Mm
爿,Cq
皮,Xp
糸,Ps
糹,Ps
纟,Ns
,Ns
艮,Id
阝,Bf
隶,Rl
韋,Qw
,Qw
飛,Of
马,Gm
,Bs
