font,ma,pinyin
頁,bdo,助记：本「ben」地「di」野「頁」猫「mao」
尸,bha,助记：不「bu」好「hao」使「尸」
,bha,助记：㊟同「尸」归并
,bha,助记：㊟同「尸」归并
,bi,助记：白「bai」衣「」
,bi,助记：㊟同「」归并
,bi,助记：㊟同「」归并
三,bja,助记：北「bei」京「jing」三「san」环
古,bje,助记：北「bei」街「jie」鼓「古」王
厂,bla,助记：玻「bo」璃「li」厂「chang」
丆,bla,助记：㊟同「厂」归并
广,bne,助记：还没想好怎么编
隹,bo,助记：还没想好怎么编
王,bu,助记：巴音布「bu」鲁克之王
石,cha,助记：插「cha」屎「石」
亠,ci,助记：刺「ci」头「亠Tóu」
女,ci,助记：雌「ci」
囗,cko,助记：吃「chi」一大口「kou」
辰,cla,助记：灿「c」烂「lan」星辰
夭,cle,助记：虫「chong」类「lei」妖「夭」怪
欠,cna,助记：「cnma」还钱「欠」
臼,co,助记：还没想好怎么编
,co,助记：㊟同「臼」归并
乂,cu,助记：错「cuo」
,cu,助记：㊟同「乂」归并
至,dfo,助记：还没想好怎么编
其,dhe,助记：打「da」和「he」棋「其」
冖,di,助记：低「di」帽沿
,di,助记：㊟同「冖」归并
,di,助记：㊟同「冖」归并
土,di,助记：地「di」图「土」
士,du,助记：毒「du」士
豸,djo,助记：大「da」脚「jiao」豸
戈,dka,助记：打「da」卡「ka」戈壁滩
鹿,dla,助记：大「da」露「鹿lu」台「tai」
,dla,助记：㊟同「鹿」归并
,dle,助记：打「da」雷「lei」爲了下雨
尤,dna,助记：冻「dong」奶「nai」油「尤」
尢,do,助记：do you「尢Yóu」 know？
夕,dno,助记：还没想好怎么编
巴,fa,助记：飞「fei」吧「巴ba」
一,fi,助记：风「feng」衣「一yi」
丬,fi,助记：飞「fei」盘「丬Pán」
已,fle,助记：福「fu」利「li」而「er」已
之,fo,助记：一票否「fou」之
木,fu,助记：伐「fa」木「mu」
朩,fu,助记：㊟同「木」归并
车,ghe,助记：公「gong」车「che」
耳,gje,助记：高「gao」级「ji」耳「er」环
亦,gle,助记：还没想好怎么编
,gle,助记：㊟同「亦」归并
心,gma,助记：玩「game」就开「kai」心
,ga,助记：嘎「ga」了心
勹,go,助记：跟「癶」「正」一样
,go,助记：㊟同「勹」归并
,go,助记：㊟同「勹」归并
正,go,助记：公「gong」正
癶,go,助记：跟「勹」「正」一样
,go,助记：㊟同「癶」归并
高,gpe,助记：高「gao」配「pei」
,gpe,助记：㊟同「高」归并
,gpe,助记：㊟同「高」归并
,ge,助记：比「高」少一码
,ge,助记：㊟同「」归并
骨,gpu,助记：光「guang」屁「pi」股「骨gu」
咼,gsi,助记：还没想好怎么编
,gsi,助记：㊟同「咼」归并
习,gu,助记：古「gu」稀「习」
禺,hbi,助记：还没想好怎么编
了,hdi,助记：很「hen」低「di」了
子,hsi,助记：还「hai」是「shi」个孩子
孑,hgo,助记：很「hen」高「gao」洁「孑」
予,hi,助记：黑「hei」鱼「予」
方,hdo,助记：跟「耂」一样
耂,hdo,助记：跟「方」一样
凵,he,助记：很「hen」浅「凵qiǎn」
丩,he,助记：㊟同「凵」归并
,he,助记：㊟同「凵」归并
屮,hwi,助记：还没想好怎么编
丱,hwi,助记：㊟同「屮」归并
丁,hfo,助记：还没想好怎么编
丅,hfo,助记：㊟同「丁」归并
,hfo,助记：㊟同「丁」归并
下,ha,助记：还没想好怎么编
贝,hgi,助记：还没想好怎么编
丰,ho,助记：丰厚「hou」
,ho,助记：后「hou」手「」
,hru,助记：好「h」软「ruan」的刀「」
早,hvi,助记：还没想好怎么编
舟,hvu,助记：还没想好怎么编
毛,hwu,助记：喝「he」五「wu」毛钱的
斤,hxo,助记：还没想好怎么编
,ja,助记：跟「生」「」「」一样
生,ja,助记：助记：夹「jia」生
见,jdi,助记：见「jian」地「di」
戊,jdo,助记：还没想好怎么编
丨,je,助记：跟「丷」「宀」一样
〢,je,助记：㊟同「丨」归并
〣,je,助记：㊟同「丨」归并
丷,je,助记：跟「丨」「宀」一样
,je,助记：㊟同「丷」归并
,je,助记：㊟同「丷」归并
,ja,助记：跟「」「生」「」一样
寸,jfo,助记：还没想好怎么编
,ja,助记：跟「」「生」「」一样
且,jgi,助记：禁「jin」止苟「gou」且「qie」
,jgi,助记：㊟同「且」归并
彳,ji,助记：比「亍」少一码
,ji,助记：㊟同「彳」归并
亍,jdi,助记：跟「见」一样
穴,jle,助记：比「宀」多了「le」一码
宀,je,助记：跟「丨」「丷」一样
,jlu,助记：嫁「jia」了「le」猪「zhù」
长,jri,助记：节「j」日「ri」长假
马,jro,助记：金「jin」融「rong」马
业,jsi,助记：叫「jiao」四「si」爷「业」
,jvi,助记：还没想好怎么编
,jwe,助记：还没想好怎么编
示,jbo,助记：还没想好怎么编
,jbo,助记：㊟同「示」归并
,ka,助记：跟「西」一样
,ka,助记：㊟同「」归并
西,ka,助记：卡卡「ka」西
酉,kva,助记：比「西」多一码
雨,kbi,助记：还没想好怎么编
夊,kci,助记：还没想好怎么编
攵,kci,助记：㊟同「夊」归并
页,kdo,助记：还没想好怎么编
,ke,助记：跟「丶」一样
丶,ke,助记：跟「」一样
乀,ke,助记：㊟同「丶」归并
止,kfa,助记：还没想好怎么编
,kfa,助记：㊟同「止」归并
齒,ktu,助记：还没想好怎么编
夫,kfo,助记：可「ke」否「fou」做我夫人
,kfo,助记：㊟同「夫」归并
皮,kgi,助记：啃「ken」瓜「gua」皮「pi」
文,kgu,助记：看「kan」古「gu」文
,ki,助记：还没想好怎么编
疒,kla,助记：看「kan」老「lao」毛病
不,ksi,助记：可「ke」不是「shi」
身,ksu,助记：身体可「ke」塑「su」性
里,kvo,助记：还没想好怎么编
羊,kwe,助记：烤「kao」羊尾「wei」
,kwe,助记：㊟同「羊」归并
,kwe,助记：㊟同「羊」归并
,ko,助记：比「羊」少一码
,kwi,助记：还没想好怎么编
,kwi,助记：㊟同「」归并
,kwi,助记：㊟同「」归并
未,kxi,助记：还没想好怎么编
末,kre,助记：还没想好怎么编
日,la,助记：拉「la」日铁路
曰,lwi,助记：老「lao」忘「wang」子「zi」曰
,la,助记：㊟同「日」归并
,la,助记：㊟同「日」归并
气,lco,助记：老「lao」操「cao」心就会生气
兀,ldi,助记：还没想好怎么编
丌,ldu,助记：还没想好怎么编
,ldu,助记：㊟同「丌」归并
辶,le,助记：还没想好怎么编
⻍,le,助记：㊟同「辶」归并
舌,lfe,助记：老「lao」费「fei」舌头了
金,li,助记：礼「li」金
户,lro,助记：还没想好怎么编
戸,lro,助记：㊟同「户」归并
卩,lru,助记：还没想好怎么编
,lru,助记：㊟同「卩」归并
㔾,lru,助记：㊟同「卩」归并
米,lsi,助记：老「lao」粟「su」米「mi」
七,lti,助记：还没想好怎么编
,lti,助记：㊟同「七」归并
弋,ltu,助记：还没想好怎么编
大,lwo,助记：还没想好怎么编
亥,lxo,助记：还没想好怎么编
,ma,助记：蚂「ma」蚁「yì」
匕,ma,助记：麻「ma」痹「匕」
,ma,助记：㊟同「匕」归并
川,mci,助记：还没想好怎么编
巛,mci,助记：㊟同「川」归并
巜,mci,助记：㊟同「川」归并
儿,mco,助记：还没想好怎么编
,mco,助记：㊟同「儿」归并
,mco,助记：㊟同「儿」归并
世,mdo,助记：还没想好怎么编
厶,me,助记：没「mei」死「厶sī」
,me,助记：没「mei」死「纟sī」
,me,助记：㊟同「」归并
彐,mfi,助记：还没想好怎么编
,mfi,助记：㊟同「彐」归并
肀,mfi,助记：㊟同「彐」归并
隶,mfi,助记：㊟同「彐」归并
合,mgi,助记：还没想好怎么编
,mgi,助记：㊟同「合」归并
僉,mme,助记：还没想好怎么编
,mgi,助记：㊟同「合」归并
丑,mle,助记：丑麻「ma」了「le」
,mla,助记：五毛「mao」钱辣「la」椒
鳥,mpe,助记：还没想好怎么编
,mpe,助记：㊟同「鳥」归并
烏,mje,助记：还没想好怎么编
,mje,助记：㊟同「烏」归并
長,mri,助记：还没想好怎么编
镸,mri,助记：㊟同「長」归并
髟,mti,助记：还没想好怎么编
來,mru,助记：还没想好怎么编
革,msi,助记：还没想好怎么编
食,mvi,助记：还没想好怎么编
千,mwe,助记：没「mei」有一文「wen」钱「千」
,mwe,助记：㊟同「千」归并
亡,mwo,助记：还没想好怎么编
,mbo,助记：还没想好怎么编
几,nbi,助记：还没想好怎么编
殳,ngo,助记：还没想好怎么编
風,nqu,助记：还没想好怎么编
丂,ndo,助记：跟「手」一样
,ndo,助记：㊟同「丂」归并
手,ndo,助记：你「ni」别动「dong」手
,ndo,助记：㊟同「手」归并
也,ne,助记：牛「niu」爷「也ye」
乜,nfe,助记：比「也」多一码
犬,nfi,助记：还没想好怎么编
飛,nfo,助记：还没想好怎么编
,ngi,助记：㊟同「」归并
,ngi,助记：还没想好怎么编
,ni,助记：泥「ni」人
戶,nro,助记：还没想好怎么编
小,nsi,助记：还没想好怎么编
⺌,nsi,助记：㊟同「小」归并
,nsi,助记：㊟同「小」归并
,ni,助记：比「小」少一码
,ni,助记：㊟同「」归并
尚,nvo,助记：还没想好怎么编
,nvo,助记：㊟同「尚」归并
而,nwi,助记：还没想好怎么编
目,nwu,助记：还没想好怎么编
糸,pa,助记：怕「pa」死「糸sī」
,pa,助记：㊟同「糸」归并
彑,pdi,助记：还没想好怎么编
,pdi,助记：㊟同「彑」归并
