font,ma,pinyin
丷,ba,Bā  𡆧不取声码
,ba,㊟同「丷」归并
,ba,㊟同「丷」归并
,bo,🈤无读音取o
車,bcu,Ĉē  🈤映射：c->cu
,bcu,㊟同「車」归并
,bcu,㊟同「車」归并
入,bdi,Rù  🈤映射：r->di
食,bdo,Ŝí  🈤映射：s->do
牙,bgu,Yá  🈤映射：y->gu
匕,bi,Bĭ  𡆧不取声码
,bi,㊟同「匕」归并
,bke,Ẑú  🈤映射：z->ke
豸,bke,Ẑì  🈤映射：z->ke
户,bla,Hù  🈤映射：h->la
戸,bla,㊟同「户」归并
卩,bne,Jié  🈤映射：j->ne
,bne,㊟同「卩」归并
㔾,gne,Jié  🈤映射：j->ne
,bo,🈤无读音取o
虫,bo,Ĉóŋ  𡆧不取声码
厂,ca,Ĉǎŋ  𡆧不取声码
丆,ca,㊟同「厂」归并
辰,ccu,Ĉén  🈤映射：c->cu
世,cdo,Ŝì  🈤映射：s->do
隹,ci,Ẑuī  𡆧不取声码
丂,cje,Kào  🈤映射：k->je
,cje,㊟同「丂」归并
文,cjo,Wén  🈤映射：w->jo
心,cka,Xīn  🈤映射：x->ka
,ci,Xīn  𡆧不取声码
卜,cna,Pū  🈤映射：p->na
,cna,㊟同「卜」归并
,co,🈤无读音取o
鹵,cvi,Lǔ  🈤映射：l->vi
馬,cro,Mǎ  🈤映射：m->ro
,cro,㊟同「馬」归并
早,da,Zǎo  𡆧不取声码
石,ddo,Ŝí  🈤映射：s->do
乂,di,Yì  𡆧不取声码
,di,㊟同「乂」归并
气,dje,Qì  🈤映射：q->je
未,djo,Wèi  🈤映射：w->jo
末,dro,Mò  🈤映射：m->ro
夕,dka,Xī  🈤映射：x->ka
止,dke,Ẑǐ  🈤映射：z->ke
,dke,㊟同「止」归并
齒,dcu,Ĉǐ  🈤映射：c->cu
禾,dla,Hé  🈤映射：h->la
九,dne,Jiǔ  🈤映射：j->ne
,do,Ŝǒu  𡆧不取声码
丶,du,Ẑǔ  𡆧不取声码
乀,du,㊟同「丶」归并
革,dwi,Gé  🈤映射：g->wi
爪,fa,Ẑuǎ  𡆧不取声码
瓜,fwi,Guā  🈤映射：g->wi
尚,fdo,Ŝàŋ  🈤映射：s->do
,fdo,㊟同「尚」归并
正,fe,Ẑèŋ  𡆧不取声码
一,fi,Yī  𡆧不取声码
小,fka,Xiǎo  🈤映射：x->ka
⺌,fka,㊟同「小」归并
,fka,㊟同「小」归并
,fa,Xiǎo  𡆧不取声码
,fa,㊟同「」归并
至,fke,Ẑì  🈤映射：z->ke
见,fne,Jiàn  🈤映射：j->ne
用,fo,Yòŋ  𡆧不取声码
母,fro,Mǔ  🈤映射：m->ro
,fo,🈤无读音取o
女,fu,Nǚ  𡆧不取声码
刀,ga,Dāo  𡆧不取声码
壬,gdi,Rén  🈤映射：r->di
巳,gdo,Sì  🈤映射：s->do
,gdo,㊟同「巳」归并
丰,ge,Fēŋ  𡆧不取声码
已,ggu,Yǐ  🈤映射：y->gu
水,gi,Ŝuǐ  𡆧不取声码
氺,gi,㊟同「水」归并
,gi,㊟同「水」归并
,gke,Dāo  🈤映射：d->ke
亥,gla,Hài  🈤映射：h->la
己,gne,Jǐ  🈤映射：j->ne
癶,go,Bō  𡆧不取声码
,go,㊟同「癶」归并
贝,gsi,Bèi  🈤映射：b->si
丬,ha,Qiáŋ  𡆧不取声码
,ha,Yán  𡆧不取声码
寸,hcu,Cùn  🈤映射：c->cu
,ho,🈤无读音取o
舌,hdo,Ŝé  🈤映射：s->do
丿,he,Piě  𡆧不取声码
彡,ha,Ŝān  𡆧不取声码
,ha,㊟同「彡」归并
也,he,Yě  𡆧不取声码
乜,hro,Miē  🈤映射：m->ro
鱼,hgu,Yú  🈤映射：y->gu
乙,hi,Yǐ  𡆧不取声码
亅,hi,㊟同「乙」归并
,hi,㊟同「乙」归并
,hi,㊟同「乙」归并
,hi,㊟同「乙」归并
,hi,㊟同「乙」归并
,hi,㊟同「乙」归并
,hi,㊟同「乙」归并
,hi,㊟同「乙」归并
乚,hi,㊟同「乙」归并
,hi,㊟同「乙」归并
,hi,㊟同「乙」归并
,hi,㊟同「乙」归并
,hi,㊟同「乙」归并
冖,hi,Mì  𡆧不取声码
,hi,㊟同「冖」归并
,hi,㊟同「冖」归并
丁,hke,Dīŋ  🈤映射：d->ke
丅,hke,㊟同「丁」归并
下,ha,Xià  𡆧不取声码
,ho,🈤无读音取o
弓,hwi,Gōŋ  🈤映射：g->wi
王,ja,Wáŋ  𡆧不取声码
长,jcu,Ĉáŋ  🈤映射：c->cu
日,jdi,Rì  🈤映射：r->di
曰,ke,Yuē  𡆧不取声码
,jdi,㊟同「日」归并
,jdi,㊟同「日」归并
