font,ma
卜,bbu
⺊,bbu
,bo
,bo
虎,bhu
虍,bhu
,bhu
鹵,blu
灬,bbi
馬,bma
,bma
魚,be
亦,bi
爪,bsa
瓜,bga
未,bo
末,bmo
示,bka
乙,ci
亅,ci
乚,ci
飛,cfo
,co
世,cka
又,cu
女,cne
马,cma
禾,che
生,cke
來,cle
氵,cko
口,dke
〇,dli
ㄩ,do
屮,do
,do
彑,dji
,dji
母,dme
,do
言,de
金,djo
己,dji
已,di
长,dre
宀,dme
廴,do
皮,dpi
一,fi
匚,ffe
丂,fki
牙,fa
,fo
㐄,fo
,fo
,fo
,fo
,fde
丿,fpe
乃,fne
手,fke
龵,fke
甲,fja
电,fdi
鱼,fe
而,fo
面,fme
目,gme
皿,gmo
罒,go
,go
見,gje
貝,gbo
頁,ge
厂,ga
丆,ga
广,ggo
疒,gne
鹿,glu
,glu
麻,gma
儿,go
,go
九,gju
牛,gnu
⺧,gnu
豕,gka
,gka
夭,gi
扌,gke
革,gge
冂,ho
,ho
,ho
勹,ho
,ho
习,hxi
贝,hbo
页,he
冊,hce
,hce
田,hti
止,hsi
龰,hsi
走,hze
齒,hri
亥,hhe
其,hqi
自,hzi
辰,hre
日,ji
曰,je
,ji
,ji
早,jzi
臣,jre
,ji
,ji
甶,jfu
,jfu
鬼,jgo
,jgo
门,jme
心,jxo
忄,jxo
上,jke
,jke
丄,jke
寸,jci
,jo
工,jgi
瓦,ja
丰,jfe
刀,jdi
夕,jxi
矢,jka
舟,jse
巳,jsi
巴,jba
川,jri
巛,jri
巜,jri
,jo
咼,jga
冎,jga
骨,jgu
三,ksa
彡,kka
,kka
彳,kri
纟,ksi
,ksi
,ko
弋,ki
戈,kge
戊,ku
白,kbe
臼,kju
⺽,kju
下,kxa
丁,kdi
丅,kdi
且,kqe
,ko
入,ke
八,kba
丬,kqo
囗,ko
之,ksi
弓,kgi
千,kqi
古,kgu
里,kli
甫,kfu
辛,kxo
丨,lgi
〢,lo
〣,lo
非,lfo
小,lxi
,lxi
⺌,lxi
⺍,lxi
,lxi
穴,lxe
亠,lte
亡,lo
,llo
,lo
,lo
,lo
高,lgi
方,lfe
了,lle
子,lzi
予,le
干,lga
匕,lbi
兀,lu
正,lse
欠,lqi
饣,lka
曲,lqe
向,lxo
,lxo
糸,lsi
幺,li
辶,lro
⻍,lro
長,lre
镸,lre
髟,lbi
艹,mci
卄,mci
廾,mci
,mci
龷,mci
,mci
卅,msa
卌,mxi
,mo
,mzo
不,mbu
耳,mo
冖,mo
⺈,mo
,mo
七,mqi
乜,mme
也,me
,mo
,mo
丑,mre
,mu
艮,mge
,mdo
丶,ndi
乀,ndi
月,ne
,ne
,no
亍,nru
缶,nfe
壬,no
足,nzu
厶,nsi
大,pda
夫,pfu
,pdi
雨,pe
犬,pqi
犭,pqi
豸,psi
几,qji
殳,qku
風,qfe
虫,qho
卯,qmi
,qo
,qo
,qo
,qo
丱,qgi
丩,qo
,qo
王,ro
毛,rmi
丌,rji
文,ri
立,rli
石,rka
㔾,rje
,rje
卩,rje
身,rke
黑,rho
車,rre
,rre
叀,rre
烏,ru
,ru
鳥,rni
,rni
門,rme
鬥,rde
木,sme
朩,sme
二,so
⺀,so
冫,so
,so
彐,sji
,sji
肀,sji
隶,sli
尸,ska
,ska
户,shu
戸,shu
片,spe
爿,spa
尤,su
尢,so
用,si
至,ssi
舌,ske
,so
十,tka
巾,tjo
由,tu
火,tho
衤,ti
,to
,to
,to
尚,tke
龸,to
夊,tpe
土,vdu
士,vke
龶,vke
耂,vo
壴,vsu
,vo
乂,vi
,vi
ス,vo
マ,vo
癶,vo
⺁,vi
斤,vjo
戶,vhu
见,vje
山,vka
米,vmi
业,ve
讠,ve
车,vre
人,wo
合,whe
,wo
,wo
僉,wqi
食,wka
亻,wo
隹,wco
禺,we
申,wke
水,wko
力,wli
䒑,xci
丷,xci
,xci
羊,xo
⺷,xo
,xo
乌,xu
鸟,xni
,xni
钅,xjo
竹,ysu
⺮,ysu
,ysu
,yo
气,yqi
西,yxi
酉,yu
刂,ydi
阝,yfu
