font,ma,pinyin
冊,bcu,cè
,bcu,cè
丰,bfo,fēng
骨,bgu,gǔ
咼,bu,
,bu,
合,bhe,hé
,be,
僉,bqe,qiān
,be,
鱼,bke,yú
牙,bko,yá
鳥,bne,niǎo
,be,
烏,bwe,wū
,be,
山,bsu,shān
囗,bu,
辰,cco,chén
广,cgi,guǎng
黑,chu,hēi
灬,ci,
几,cje,jǐ
殳,cse,shū
風,cfe,fēng
言,cki,yán
业,cku,yè
足,cvu,zú
耳,cwo,ěr
㔾,da,
卩,da,
,da,
白,dbe,bái
,de,
丑,dca,chǒu
,du,
缶,dfe,fǒu
禾,dhe,hé
疒,di,
见,dju,jiàn
也,dka,yě
乜,dma,miē
乂,dke,yì
,de,
目,dmu,mù
,do,
,do,
食,dse,shí
卅,dso,sà
卌,dxo,xì
,do,
,do,
,do,
冂,du,
,du,
,du,
走,dvo,zǒu
止,dvu,zhǐ
,du,
齒,dcu,chǐ
文,dwi,wén
辛,dxi,xīn
川,fce,chuān
,fe,
巛,fa,
巜,fa,
,fe,
方,ffi,fāng
丶,fi,
乀,fi,
一,fko,yī
羊,gki,yáng
,gi,
,gi,
,gi,
木,gmo,mù
朩,go,
來,glo,lái
匚,go,
,go,
示,gso,shì
,gso,shì
儿,gwe,ér
,gwe,ér
厶,ha,
匕,hbe,bǐ
,hbe,bǐ
,he,
,ho,
气,hqe,qì
日,hru,rì
曰,hku,yuē
,hu,
,hu,
上,hsu,shàng
丄,hu,
,hu,
早,hvu,zǎo
心,hxi,xīn
鬼,jge,guǐ
,je,
甶,je,
,je,
己,jja,jǐ
已,jka,yǐ
巳,jsa,sì
,jsa,sì
巴,jba,bā
口,jku,kǒu
〇,jla,líng
馬,jmo,mǎ
,jo,
丂,jo,
,jo,
千,jqe,qiān
,jqe,qiān
矢,jse,shǐ
三,jso,sān
之,jvi,zhī
辶,ji,
⻍,ji,
正,jvo,zhèng
不,kbo,bù
长,kce,cháng
车,kco,chē
勹,ke,
,ke,
,ke,
艮,kga,gèn
,ka,
革,kgo,gé
户,khi,hù
戶,khe,hù
戸,kho,hù
虎,khu,hǔ
虍,ku,
,ku,
臼,kje,jiù
,ke,
了,kla,le
子,kva,zǐ
孑,kja,jié
予,kka,yǔ
竹,kve,zhú
,ke,
,ke,
亡,kwi,wáng
,ki,
未,kwo,wèi
末,kmo,mò
习,kxa,xí
西,kxo,xī
酉,kko,yǒu
八,lbe,bā
,le,
工,lgo,gōng
乙,lka,yǐ
亅,lka,yǐ
,lka,yǐ
,lka,yǐ
,lka,yǐ
,lka,yǐ
,lka,yǐ
,lka,yǐ
,lka,yǐ
乚,la,
,la,
,la,
,la,
,la,
飛,lfa,fēi
夭,lke,yāo
乃,lna,nǎi
廴,la,
,le,
手,lse,shǒu
,le,
,lo,
尚,lsu,shàng
,lu,
,lu,
,lu,
,lu,
隹,lve,zhuī
而,lwo,ér
面,lmo,miàn
夕,lxe,xī
贝,mbu,bèi
虫,mcu,chóng
非,mfu,fēi
干,mgo,gàn
丷,mi,
,mu,
,mi,
亦,mki,yì
,mki,yì
由,mku,yóu
申,msu,shēn
电,mdu,diàn
其,mqo,qí
人,mre,rén
糸,msa,sī
,msa,sī
凵,na,
丩,na,
,na,
屮,na,
丱,na,
臣,nco,chén
,no,
,no,
土,ndo,dù
士,nso,shì
,ne,
九,nje,jiǔ
卯,nme,mǎo
,nme,mǎo
,ne,
,ne,
,ne,
,ne,
欠,nqe,qiàn
壬,nre,rén
王,nwo,wáng
小,nxu,xiǎo
⺌,nu,
,nu,
,ni,
,ni,
長,pco,cháng
镸,po,
髟,po,
大,pdo,dà
夊,pe,
攵,pe,
古,pgo,gǔ
,pi,
見,pju,jiàn
幺,pka,yāo
马,pma,mǎ
片,ppe,piàn
爿,ppa,pán
七,pqo,qī
,pqo,qī
弋,pko,yì
入,pre,rù
舌,pse,shé
兀,pwo,wù
丌,po,
,po,
卜,qbu,bo
,qu,
,qu,
,qo,
鹵,qlu,lǔ
高,qgi,gāo
,qgi,gāo
,qi,
,qi,
,qi,
用,qke,yòng
门,qmi,mén
鸟,qne,niǎo
,qe,
乌,qwe,wū
艹,qo,
艹,qo,
廾,qo,
穴,qxi,xué
,ra,
,ra,
,ra,
厂,rco,chǎng
丆,ro,
弓,rga,gōng
丬,ri,
,ri,
金,rje,jīn
页,rko,yè
母,rma,mǔ
,ra,
彑,ra,
,ra,
,ro,
,ro,
,ro,
且,rqu,qiě
,ru,
世,rso,shì
豕,rso,shǐ
,re,
田,rtu,tián
貝,sbu,bèi
彳,se,
,se,
夫,sfo,fū
,so,
戈,sgo,gē
戊,swo,wù
亥,shi,hài
亠,si,
月,ske,yuè
,se,
,se,
尤,sko,yóu
尢,so,
力,sla,lì
鹿,sli,lù
,si,
米,smi,mǐ
尸,ssa,shī
,ssa,shī
,sa,
自,sve,zì
身,sse,shēn
彐,ta,
,to,
肀,ta,
隶,tla,lì
,ti,
,te,
,te,
,to,
甲,tju,jiǎ
里,tlu,lǐ
禺,tku,yú
魚,tke,yú
毛,tme,máo
麻,tmi,má
牛,tne,niú
,te,
生,tse,shēng
石,tso,shí
豸,tve,zhì
二,two,èr
,ti,
,te,
⺀,ti,
亍,to,
丁,vdo,dīng
丅,vo,
下,vxo,xià
,vu,
丿,ve,
又,vka,yòu
,va,
,va,
癶,va,
耂,vo,
水,vsu,shuǐ
氺,vsu,shuǐ
,vi,
瓦,vwo,wǎ
,wa,
車,wco,chē
,wo,
,wo,
,we,
彡,we,
冖,wi,
,we,
,we,
巾,wju,jīn
雨,wko,yǔ
皿,wmu,mǐn
罒,wu,
女,wna,nǚ
丨,wu,
〢,wu,
〣,wu,
,xa,
,xa,
寸,xco,cùn
,xo,
甫,xfo,fǔ
斤,xje,jīn
,xe,
立,xli,lì
門,xmu,mén
鬥,xdu,dòu
,xu,
舟,xve,zhōu
刀,yda,dāo
火,yhi,huǒ
宀,yi,
頁,yko,yè
皮,ypa,pí
犬,yqo,quǎn
,ye,
曲,yqu,qǔ
,yo,
十,yso,shí
爪,yve,zhǎo
瓜,yge,guā
至,yvo,zhì
向,yxe,xiàng
,ye,
,ye,
