font,ma,pinyin
又,so,yòu
,se,
,se,
癶,so,
卅,ga,sà
卌,gi,xì
,ge,
,ge,
,ge,
艹,ye,
廾,ye,
犬,co,quǎn
,cko,
卯,mme,mǎo
,mme,mǎo
,me,
,me,
,me,
,me,
片,gpa,piàn
爿,gu,pán
之,li,zhī
辶,le,
⻍,le,
乙,hi,yǐ
亅,hi,yǐ
,hi,yǐ
,hi,yǐ
,hi,yǐ
,hi,yǐ
,hi,yǐ
,hi,yǐ
,hi,yǐ
乚,hi,
,hi,
,hi,
,hi,
,hi,
飛,hfo,fēi
二,cja,èr
,cja,
,cja,
⺀,cja,
亍,ccu,
卜,fpu,bo
,fpu,
,fe,
,fe,
鹵,flu,lǔ
虎,bhu,hǔ
虍,bhu,
,bhu,
皿,rmo,mǐn
罒,rwe,
羊,tyi,yáng
,tyi,
,tyi,
,ti,
丶,ga,
乀,ga,
夫,lfu,fū
,ldi,
川,hco,chuān
,ho,
巛,hco,
巜,hco,
勹,ne,
,ne,
,ne,
臼,vo,jiù
,vo,
鬼,to,guǐ
,to,
甶,tu,
,tu,
也,je,yě
乜,jme,miē
,dke,
,dke,
,gu,
,ge,
土,vu,dù
士,vi,shì
尤,wyo,yóu
尢,we,
豕,vsi,shǐ
,vsi,
鳥,yno,niǎo
,yno,
烏,ywu,wū
,ywu,
口,di,kǒu
〇,du,líng
鸟,qno,niǎo
,qno,
乌,qwu,wū
曲,rko,qǔ
,re,
一,fi,yī
厂,bu,chǎng
丆,bu,
母,smu,mǔ
,se,
彑,sji,
,si,
,syi,
,se,
,se,
,se,
,ge,
,ge,
,ge,
由,pyo,yóu
申,psa,shēn
电,pa,diàn
艮,pga,gèn
,pga,
馬,pma,mǎ
,pma,
丁,sdu,dīng
丅,sdu,
下,si,xià
,se,
了,dle,le
子,dvi,zǐ
孑,dje,jié
予,do,yǔ
日,lri,rì
曰,lye,yuē
,lri,
,lri,
長,mco,cháng
镸,mco,
髟,mbo,
凵,ne,
丩,ne,
,ne,
屮,nce,
丱,ngo,
向,kxi,xiàng
,ke,
,ke,
寸,jco,cùn
,je,
上,fo,shàng
丄,fo,
,fo,
丑,jci,chǒu
,jwu,
丨,do,
〢,de,
〣,de,
,xu,
彡,xu,
彳,xi,
,xe,
亡,twe,wáng
,tle,
几,rji,jǐ
殳,ru,shū
風,rfu,fēng
㔾,vje,
卩,vje,
,vje,
尚,pso,shàng
,pso,
骨,mgu,gǔ
咼,mu,
,mu,
車,bce,chē
,bce,
,bce,
白,kbo,bái
,kdo,
冂,qje,
,qje,
,qje,
手,rsi,shǒu
,rsi,
,ri,
未,kwo,wèi
末,kmo,mò
户,whu,hù
戶,wu,hù
戸,whu,hù
月,ke,yuè
,ke,
,ke,
止,nvi,zhǐ
,nvi,
齒,nci,chǐ
木,ju,mù
朩,ju,
來,jlo,lái
甲,sji,jiǎ
里,sli,lǐ
禺,syo,yú
而,wja,ér
面,wma,miàn
丷,ve,
,ve,
,ve,
兀,mwu,wù
丌,mi,
,mi,
己,lji,jǐ
已,lyi,yǐ
巳,lsi,sì
,lsi,sì
巴,la,bā
鹿,tlu,lù
,tlu,
,gi,
,gi,
高,dge,gāo
,dge,gāo
,dge,
,de,
,de,
,de,
,de,
且,qke,qiě
,qe,
水,qo,shuǐ
氺,qo,shuǐ
,qo,
乂,wi,yì
,wi,
冖,we,
,we,
,we,
彐,gji,
,gji,
肀,gjo,
隶,gi,lì
臣,ya,chén
,yi,
,yi,
合,dhe,hé
,dhe,
僉,da,qiān
,dhe,
小,hxo,xiǎo
⺌,hxo,
,hxo,
,ho,
,ho,
竹,su,zhú
,su,
,se,
西,ri,xī
酉,ryo,yǒu
七,qi,qī
,qi,qī
弋,qyi,yì
戈,kge,gē
戊,kwu,wù
牛,tno,niú
,to,
生,tu,shēng
尸,msi,shī
,msi,shī
,msi,
爪,hu,zhǎo
瓜,hgu,guā
八,ha,bā
,he,
門,lma,mén
鬥,ldi,dòu
斤,kjo,jīn
,ki,
自,kvi,zì
身,ksa,shēn
乃,sno,nǎi
廴,so,
,so,
习,bi,xí
金,bo,jīn
食,bsi,shí
鱼,byo,yú
貝,cbo,bèi
亥,cho,hài
匕,ci,bǐ
,ci,bǐ
毛,cme,máo
,co,
正,cu,zhèng
豸,cvi,zhì
,cvu,
见,dja,jiàn
气,dki,qì
目,dmu,mù
牙,dyi,yá
夭,dyo,yāo
言,fa,yán
巾,fjo,jīn
丂,fke,
,fke,
门,fma,mén
舌,fse,shé
,fu,
隹,go,zhuī
页,gye,yè
亦,gyi,yì
,gyi,yì
大,hda,dà
弓,hge,gōng
,ho,
石,hsi,shí
舟,hvi,zhōu
灬,jbo,
丿,je,
非,jfo,fēi
示,jsi,shì
,jsi,shì
田,jta,tián
,jve,
走,jvi,zǒu
文,jwo,wén
人,ka,rén
长,kco,cháng
,kde,
古,kgu,gǔ
耳,kja,ěr
力,kli,lì
三,ksu,sān
囗,kwo,
穴,kxe,xué
,la,
方,lfo,fāng
广,lge,guǎng
壬,lra,rén
夕,lxi,xī
车,mce,chē
,me,
王,me,wáng
入,mru,rù
至,mvi,zhì
夊,mvu,suī
夂,mvu,zhǐ
攵,mvu,pū
魚,myo,yú
儿,na,ér
,na,ér
,na,
贝,nbo,bèi
不,nbu,bù
冊,nce,cè
,nce,cè
匚,nfo,
,nfo,
干,ngu,gàn
見,nja,jiàn
山,nsu,shān
辛,nxo,xīn
宀,pa,
工,pe,gōng
亠,pi,
糸,pi,sī
,pi,sī
矢,psi,shǐ
心,pxo,xīn
早,qe,zǎo
立,qli,lì
甫,qu,fǔ
缶,rfi,fǒu
麻,rma,má
用,ro,yòng
皮,rpi,pí
頁,rye,yè
革,sge,gé
禾,she,hé
米,smi,mǐ
火,te,huǒ
黑,tho,hēi
十,ti,shí
马,tma,mǎ
世,tsi,shì
瓦,twu,wǎ
,vsi,
雨,vyo,yǔ
九,wjo,jiǔ
欠,wka,qiàn
其,wki,qí
疒,wne,
女,wo,nǚ
业,wye,yè
丬,xi,
厶,xi,
千,xka,qiān
,xka,qiān
耂,xle,
虫,xo,chóng
丰,xu,fēng
足,xvu,zú
辰,yca,chén
刀,ye,dāo
幺,yyo,yāo
